ja,en,fil-PH,pt,es,pt-BR,zh,ko,fr,hi,th,vi,my,ne,bn,id,ta,si,mn,ar,fa,tr,ru,ur,km,lo,ms,de,hu,cs,pl,nl,da,fi,sv,lb,af,fr-CA,翻訳言語数
技能実習,Technical intern training,Technical Intern Training,,,,技能实习,,,,การฝึกงานดา้ นเทคนคิ,Thực tập kỹ năng,အလပု ်သငတ် န်း်,,,Pelatihan Kerja Teknis,,,,,,,,,ការហ្វឹកហ្វឺនជំនាញ,,,,,,,,,,,,,,8
技能実習生,Technical intern trainee,Technical Intern Trainee,,,,技能实习生,,,,ผฝู้ ึกงานดา้ นเทคนคิ,Thực tập sinh kỹ năng,အလပု ်သင်,,,Pemagang Kerja Teknis,,,,,,,,,កម្មសិកាការហ្ី វឹកហ្វឺន ជំនាញ,,,,,,,,,,,,,,8
工場,Factory; plant,Pabrika,,,,工厂,,,,โรงงาน,Nhà máy,စကရ် ု,,,Pabrik,,,,,,,,,រោងចក្ក,,,,,,,,,,,,,,8
製造,Manufacturing,Produksiyon,,,,制造,,,,ผลติ,Chế tạo,ထတု လ် ပု ်မှု,,,Manufaktur,,,,,,,,,ការផលិត,,,,,,,,,,,,,,8
機械,Machine; machinery,Makina,,,,机械,,,,เครอื่ งจักร,Máy móc,စက်,,,Mesin,,,,,,,,,ម៉ា ស ៊ីន,,,,,,,,,,,,,,8
安全,Safety,Kaligtasan,,,,安全,,,,ปลอดภัย,An toàn,လခ ု ြုံ မှု,,,Keselamatan,,,,,,,,,ស វតថិភាព,,,,,,,,,,,,,,8
危険（な）,Danger (dangerous),Delikado (Mapanganib),,,,危险（的）,,,,อนั ตราย (ทอี่ นั ตราย),Nguy hiểm (tính từ),အန္ရတ ာယ်(ရှိ သသာ),,,Berbahaya (Bahaya),,,,,,,,,(ដែល)រក្រោះថ្នា ក់,,,,,,,,,,,,,,8
危ない,Dangerous,Delikado,,,,危险,,,,อนั ตราย,Nguy hiểm,အန္ရတ ာယရ် ှိ သည်,,,Bahaya,,,,,,,,,រក្រោះថ្នា ក់,,,,,,,,,,,,,,8
清掃,Seisou (Shine),Simutin / Paglilinis,,,,清扫,,,,สะอาด,Làm vệ sinh,သနရ် ဲ့ င်း် သရ်းလပု ်ခ င်း် (Sei-sou),,,Pembersihan,,,,,,,,,សមា ត,,,,,,,,,,,,,,8
非常口,Emergency exit,Emerhensyang labasan/Emergency exit,,,,安全出口,,,,ทางออกฉุกเฉนิ,Cửa thoát hiểm,အသရ်းသပေါ်ထကွ သ် ပါက်,,,Pintu keluar darurat,,,,,,,,,ផល វូ ោសនា,,,,,,,,,,,,,,8
注意,Attention,Babala/Paunawa,,,,注意,,,,ระวัง,Chú ý,သတှိ,,,Peringatan,,,,,,,,,ការក្រងុ ក្រយ័តា,,,,,,,,,,,,,,8
火事,Fire,Sunog,,,,火灾,,,,ไฟไหม้,Hỏa hoạn,မ ်းသလာငမ် ှု,,,Kebakaran,,,,,,,,,អគ្ាិភ័យ,,,,,,,,,,,,,,8
事故,Accident,Akisidente,,,,事故,,,,อบุ ัตเิ หตุ,Sự cố,မသတာ်တဆမှု,,,Kecelakaan,,,,,,,,,ឧរតិរហ្ត,,,,,,,,,,,,,,8
服装,Clothes,Kasuotan,,,,服装,,,,เครอื่ งแตง่ กาย,Trang phục,အဝတအ် စာ်း,,,Pakaian,,,,,,,,,សរម្លៀករំពាក់,,,,,,,,,,,,,,8
安全装置,Safety equipment,Safety equipment/Kagamitan pangkaligtasan,,,,安全装置,,,,อปุ กรณ์ความปลอดภัย,Thiết bị an toàn,အန္ရတ ာယက် င်း် ရ င်း် သရ်းကရှိ ှိ ယာ,,,Peralatan keselamatan,,,,,,,,,ឧរករណ៍ស វតថិភាព,,,,,,,,,,,,,,8
安全カバー,Safety cover; protection cover,Safety cover/Takip pang- kaligtasan,,,,安全罩,,,,ฝาครอบป้องกนั,Nắp đậy an toàn,လခ ု ြုံ သရ်းကာဗာအဖ ု်း,,,Tutup pengaman,,,,,,,,,គម្របសុវត្ថិភាព,,,,,,,,,,,,,,8
けが,Injury,Pinsala,,,,创伤,,,,บาดเจ็บ,Vết thương,ဒဏရ် ာ,,,Luka,,,,,,,,,របួស,,,,,,,,,,,,,,8
けがをする,To get injured,Mapinsala,,,,受伤,,,,ไดร้ ับบาดเจ็บ,Bị thương,ဒဏရ် ာရသည်,,,Terluka,,,,,,,,,មានរបួស,,,,,,,,,,,,,,8
電源,Power supply,Supply ng kuryente,,,,电源,,,,แหลง่ จา่ ยไฟฟ้า,Nguồn điện,လျှပ်စစ်ပါဝါ,,,Sumber listrik,,,,,,,,,ចរនតអគគិសនី,,,,,,,,,,,,,,8
電源を切る,To turn off power,Putulin ang supply ng kuryente,,,,关闭电源,,,,ตัดไฟ,Tắt nguồn điện,လျှပ်စစ်ပါဝါပှိတသ် ည်,,,Mematikan listrik,,,,,,,,,បិទចរនតអគគិសនី,,,,,,,,,,,,,,8
非常停止ボタン,Emergency stop button,Emergency stop button,,,,紧急停止按钮,,,,ป่มุ หยดุ ฉุกเฉนิ,Nút dừng khẩn cấp,အသရ်းသပေါ်စကရ် ပ်တန ် ဲ့ လတု ်,,,Tombol stop darurat,,,,,,,,,ប៊ូ ត្ុងបញ្ឈប់ពពល អាសនន,,,,,,,,,,,,,,8
非常停止ボタンを押す,To push an emergency stop button,Pindutin ang emergency stop button,,,,按下紧急停止按钮,,,,กดป่มุ หยดุ ฉุกเฉนิ,Nhấn nút dừng khẩn cấp,အသရ်းသပေါ်စကရ် ပ်တန ် ဲ့ လတု က် ှို န္ပှိ ်သည်,,,Menekan tombol stop darurat,,,,,,,,,ចុចប៊ូ ត្ុងបញ្ឈប់ពពល អាសនន,,,,,,,,,,,,,,8
ルール,Rule,Patakaran,,,,规则,,,,กฎระเบยี บ,Quy tắc,စည်း် ကမ််း,,,Peraturan,,,,,,,,,ចាប់,,,,,,,,,,,,,,8
ルールを守る,To comply with rules,Sumunod sa mga patakaran,,,,遵守规则,,,,เคารพกฎระเบยี บ,Tuân thủ quy tắc,စည်း် ကမ််းလကှို န် ာသည်,,,Mematuhi peraturan,,,,,,,,,ពោរពចាប់,,,,,,,,,,,,,,8
止める,To stop,I-off,,,,停止,,,,หยดุ,Cho dừng,ရပ်သည်,,,Menghentikan,,,,,,,,,បញ្ឈប់,,,,,,,,,,,,,,8
機械を止める,To stop a machine,I-off ang makina,,,,关掉机器,,,,หยดุ เครอื่ งจักร,Cho dừng máy,စကက် ှို ရပ်သည်,,,Menghentikan mesin,,,,,,,,,បញ្ឈប់មា៉ា សុីន,,,,,,,,,,,,,,8
やって,Do (something).,Gawin mo,,,,做,,,,ท าสิ,Hãy làm,လပု ်ပါ,,,Lakukan,,,,,,,,,ស៊ូរព្វើ,,,,,,,,,,,,,,8
止めて,Stop (something).,I-off mo,,,,停止,,,,หยดุ สิ,Hãy dừng lại,ရပ်ပါ,,,Hentikan,,,,,,,,,ស៊ូរបញ្ឈប់,,,,,,,,,,,,,,8
取って,Take; pick up; pass (something).,Kunin mo,,,,拿,,,,หยบิ สิ,Hãy lấy,ယပူ ါ,,,Ambil,,,,,,,,,ស៊ូរយក,,,,,,,,,,,,,,8
だめ（な）,No. ; No good (bad; wrong),Bawal (Ipinagbabawal ),,,,不可以（的）,,,,ไมไ่ ด ้(ทไี่ มไ่ ด)้,"(tính từ) Không được, kh ông tốt",မလပု ်သင်(ဲ့ သသာ),,,Tidak boleh (Jangan),,,,,,,,,(ដែល)រិនបាន,,,,,,,,,,,,,,8
監理団体,Supervising organization,Namamahalang organisasyon,,,,监理团体,,,,องคก์ รทกี่ ำกบั ดแู ล,Đoàn thể giám sát (nghiệp đoàn),စ မ ကပွ ်ကသ ရ်းအဖ ွွဲ့,,,Lembaga pengawas,,,,,,,,,អង្គភាពគ្រប់គ្រង្,,,,,,,,,,,,,,8
技術移転,Technology transfer,Paglilipat ng kakayahan,,,,技术转移,,,,กำรถำ่ ยทอดเทคนคิ,Chuyển giao kỹ thuật,နည်း် ပညာလသ ခပာင်း် ခ င်း်,,,Transfer teknologi,,,,,,,,,ការណទេរបណចេកវទ្យិ ា,,,,,,,,,,,,,,8
技能実習期間,Technical intern training period,Panahon ng pagsasanay,,,,技能实习期间,,,,ระยะเวลำกำรฝึกงำนดำ้ น เทคนคิ,Thời gian thực tập kỹ năng,အလပု ်သငတ် န်း် ကာလ,,,Periode pelatihan kerja,,,,,,,,,រយៈណពលហ្វឹកហ្វឺនជំនញ,,,,,,,,,,,,,,8
職種,Job type,Uri ng trabaho,,,,工种,,,,ประเภทอำชพี,Ngành nghề,အလပု ်အကငှို အ် မ ှိြုံ်းအစာ်း,,,Pekerjaan,,,,,,,,,គ្បណេទ្យមុខរបរ,,,,,,,,,,,,,,8
在留資格,Status of residence,Status ng paninirahan,,,,在留资格,,,,สถำนภำพกำรพ ำนัก,Tư cách lưu trú,ဗ ဇာအမ ှိြုံ်းအစာ်း,,,Status tinggal,,,,,,,,,អាជ្ញា ប័េណ ស្នា ក់ណៅ,,,,,,,,,,,,,,8
パスポート,Passport,Pasaporte,,,,护照,,,,หนังสอื เดนิ ทำง,Hộ chiếu,န္ငှို င် က ်းူ လကမ် တ်,,,Paspor,,,,,,,,,លិខិតឆ្លង្ដែន,,,,,,,,,,,,,,8
在留カード,Residence card,Residence card,,,,在留卡,,,,บัตรสถำนภำพกำรพ ำนัก,Thẻ lưu trú,န္ငှို င် ခ ာ်းသာ်းမ တပ် ုတငက် တ်,,,Kartu izin tinggal,,,,,,,,,ប័េណ ស្នា ក់ណៅ,,,,,,,,,,,,,,8
入管,Immigration,Immigration Bureau,,,,入管,,,,ตม.,Cục quản lý nhập cảnh,လဝက,,,Imigrasi,,,,,,,,,អណនា គ្បណវសន៍,,,,,,,,,,,,,,8
在留期間,Period of stay,Panahon ng paninirahan,,,,在留期间,,,,ระยะเวลำกำรพ ำนัก,Thời hạn lưu trú,ဗ ဇာသကတ် မ််း,,,Periode tinggal,,,,,,,,,រយៈណពលស្នា ក់ណៅ,,,,,,,,,,,,,,8
雇用契約,Employment contract,Kontrata sa trabaho,,,,劳动合同,,,,สญั ญำจำ้ งงำน,Hợp đồng tuyển dụng,အလပု ် နထ် ဲ့ ာ်းသရ်းသသေ းာတစူ ာ ြုံပ်,,,Kontrak kerja,,,,,,,,,កិចេសនាការងារ,,,,,,,,,,,,,,8
給与明細,Pay slip,Detalyadong paglalahad ng suweldo/Payment slip,,,,工资明细,,,,สลปิ เงนิ เดอื น,Bảng chi tiết lương,လစာရ င်း် တမ််းစာရွက်,,,Slip gaji,,,,,,,,,បងាា នន់ ែណបើកគ្ាក់ ណបៀវតស,,,,,,,,,,,,,,8
給料,Salary,Suweldo,,,,工资,,,,เงนิ เดอื น,Lương,လစာသငွ,,,Gaji,,,,,,,,,គ្ាក់ណបៀវតស,,,,,,,,,,,,,,8
残業手当,Overtime allowance,Overtime work pay,,,,加班费,,,,คำ่ ลว่ งเวลำ,Trợ cấp làm tăng ca,အ ှိနပ် ှိုသကက်း,,,Tunjangan lembur,,,,,,,,,គ្ាក់ឈ្ន លួ ដែមណ ៉ោ ង្,,,,,,,,,,,,,,8
労働時間,Working hours,Oras ng trabaho,,,,劳动时间,,,,เวลำท ำงำน,Thời gian làm việc,အလပု ် ှိန်,,,Jam kerja,,,,,,,,,ណ ៉ោ ង្ណ្វើការ,,,,,,,,,,,,,,8
控除（する）,Deduction (to deduct),Bawas / Exemption (Babawasan),,,,扣除,,,,การลดหยอ่ น (ลดหยอ่ น),(động từ) Khấu trừ,န္တှု ယ် ူ(သည်),,,Pengurangan (Mengurangi),,,,,,,,,(ធ្វើការ)ការកាត់ថ្លៃ,,,,,,,,,,,,,,8
ボーナス,Bonus,Bonus,,,,奖金,,,,โบนัส,Tiền thưởng,အပှိုဆသု ကက်း,,,Bonus,,,,,,,,,ប្រាក់រំណាច់,,,,,,,,,,,,,,8
有休,Paid holiday,Bakasyon na may bayad,,,,带薪休假,,,,ไดร้ ับคา่ จา้ ง,Nghỉ phép có lương,လပု ်သက ် ငွ ်ဲ့,,,Cuti tahunan,,,,,,,,,ការសប្រមាកមានប្រាក់ ធរៀវតស,,,,,,,,,,,,,,8
代休,Compensatory day off,Compensatory leave,,,,补休,,,,หยดุ ชดเชย,Nghỉ bù,အစာ်းထ်းှို နာ်းရက်,,,Libur pengganti,,,,,,,,,ថ្លៃឈរ់សប្រមាកធលើកថ្លៃ,,,,,,,,,,,,,,8
労働基準法,Labor Standards Act,The Labour Standards Act,,,,劳动基准法,,,,กฎหมายมาตรฐาน แรงงาน,Luật lao động cơ bản,အလပု ်သမာ်းစ န္နှု ်း် ဥပသဒ,,,Peraturan standar ketenagakerjaan,,,,,,,,,ចារ់រទដាា នការងារ,,,,,,,,,,,,,,8
労働条件,Working conditions,Kondisyon sa trabaho,,,,劳动条件,,,,เงอื่ นไขแรงงาน,Điều kiện lao động,အလပု ်သမာ်း စ ာ်း ငွ ်ဲ့,,,Kondisi kerja,,,,,,,,,ល័កខែ័ណឌការងារ,,,,,,,,,,,,,,8
税金,Tax,Buwis,,,,税金,,,,ภาษี,Tiền thuế,အ နွ ်,,,Pajak,,,,,,,,,ពនធ,,,,,,,,,,,,,,8
所得税,Income tax,Buwis sa kita,,,,所得税,,,,ภาษีเงนิ ได้,Thuế thu nhập,ဝငသ် င ွ နွ ်,,,Pajak penghasilan,,,,,,,,,ពនធធលើប្រាក់ចំណូ ល,,,,,,,,,,,,,,8
住民税,Resident tax,Buwis sa paninirahan,,,,住民税,,,,ภาษีบ ารงุ ทอ้ งที่,Thuế cư dân,စညပ် င ် နွ ်,,,Pajak penduduk,,,,,,,,,ពនធនិវាសនជន,,,,,,,,,,,,,,8
厚生年金,Welfare pension,Employees’ pension insurance,,,,厚生年金,,,,กองทนุ สา รองเลยี้ งชพี,Lương hưu,အလပု ်ပငစ် ငအ် ာမ,,,Uang pensiun,,,,,,,,,ប្រាក់ធសា្ននិវតាន៍ ររស់និធោជិក,,,,,,,,,,,,,,8
雇用保険,Employment insurance,Employment insurance,,,,失业保险,,,,ประกนั การจา้ งงาน,Bảo hiểm thất nghiệp,အလပု ်အာမ,,,Asuransi ketenagakerjaan,,,,,,,,,ធានារា៉ារ់រងការងារ,,,,,,,,,,,,,,8
健康保険,Health insurance,Health insurance,,,,健康保险,,,,,Bảo hiểm y tế,က န်း် မာသရ်းအာမ,,,Asuransi kesehatan,,,,,,,,,,,,,,,,,,,,,,,6
社会保険,Social insurance,Labour insurance,,,,社会保险,,,,ประกนั สงั คม,Bảo hiểm xã hội,လမူ ှုဖူလသ ု ရ်းအာမ,,,Asuransi sosial,,,,,,,,,ធានារា៉ារ់រងសងគម,,,,,,,,,,,,,,8
労災,Industrial accident,Worker’s accident,,,,工伤,,,,อบุ ัตเิ หตแุ ละความ เสยี หายทเี่ กดิ ขนึ้ ระหวา่ งการท างาน,Tai nạn lao động,လပု ်ငန်း် ငွ ် ထ ှိ ကှို ဒ် ဏရ် ာရမှု,,,Kecelakaan kerja,,,,,,,,,ធប្រគ្មុះថ្នន ក់ការងារ,,,,,,,,,,,,,,8
労災保険,Industrial accident compensation insurance,Worker’s accident compensation insurance,,,,工伤保险,,,,ประกนั อบุ ัตเิ หตแุ ละ ความเสยี หายทเี่ กดิ ขนึ้ ระหวา่ งการท างาน,Bảo hiểm tai nạn lao đ ộng,အလပု ်သမာ်းနစ်နာသကက်း အာမ,,,Asuransi kecelakaan kerja,,,,,,,,,ធានារា៉ារ់រងធលើធប្រគ្មុះ ថ្នន ក់ការងារ,,,,,,,,,,,,,,8
遅刻（する）,Late arrival (be late),Huli (Mahuhuli),,,,迟到,,,,การมาสาย (มาสาย),(động từ) Đi muộn,အလပု ်သနာကက် (သည်),,,Keterlambatan (Terlambat),,,,,,,,,(ធ្វើការ) មកយឺត,,,,,,,,,,,,,,8
早退（する）,Leaving early (to leave early),Umalis ng maaga (Aalis ng maaga),,,,早退,,,,การกลับกอ่ นเวลา (กลับ กอ่ นเวลา),(động từ) Về sớm,အလပု ်သစာခပန်(သည်),,,Kepulangan cepat (Pulang cepat),,,,,,,,,(ធ្វើការ) ធេញមុនធេល,,,,,,,,,,,,,,8
休憩（する）,Break (to take a break),Pahinga (Magpapahinga),,,,休息,,,,การพัก (พัก),(động từ) Nghỉ giải lao,အနာ်းယူ(သည်),,,Istirahat (Beristirahat),,,,,,,,,(ធ្វើការ) សម្រាក,,,,,,,,,,,,,,8
残業（する）,Overtime work (to work overtime),Overtime (Magtrabaho na lampas sa takdang oras / Magtrabaho ng overtime),,,,加班,,,,การท างานลว่ งเวลา (ท างานลว่ งเวลา),(động từ) Làm thêm giờ,အ ှိနပ် ှိုအလပု ်(ဆင်း် သည်),,,Pekerjaan lembur (Lembur),,,,,,,,,(ធ្វើការ) ការងារថែមធា៉ោ ង,,,,,,,,,,,,,,8
定時,Regular hours,Regular na oras / Takdang oras,,,,准时,,,,ตามเวลาทกี่ าหนด,Giờ quy định,ပ ုမ နအ် ှိန်,,,Tepat waktu,,,,,,,,,ធេលធ ៀងទាត់,,,,,,,,,,,,,,8
規則,Regulation; rule,Patakaran,,,,规则,,,,กฎขอ้ บังคับ,Quy tắc,စည်း် မ ဉ််းစည်း် ကမ််း,,,Aturan,,,,,,,,,ប បញ្ជា,,,,,,,,,,,,,,8
休日,Non-working day,Day-off,,,,休息日,,,,วันหยดุ,Ngày nghỉ,အလပု ်နာ်းရက်,,,Hari libur,,,,,,,,,ថ្ែៃឈប់សម្រាក,,,,,,,,,,,,,,8
始業時間,Starting time of work,Oras ng simula,,,,上班时间,,,,เวลาเรมิ่ งาน,Giờ bắt đầu làm việc,အလပု ်စ ှိန်,,,Jam mulai kerja,,,,,,,,,ធា៉ោ ងចាប់ធ្តើមការងារ,,,,,,,,,,,,,,8
終業時間,Ending time of work,Oras ng katapusan,,,,下班时间,,,,เวลาเลกิ งาน,Giờ kết thúc làm việc,အလပု ်ပပ ်း ှိန်,,,Jam usai kerja,,,,,,,,,ធា៉ោ ងបញ្ចប់ការងារ,,,,,,,,,,,,,,8
指導員,Instructor,Tagapagturo,,,,指导员,,,,ผชู้ แี้ นะ,Người hướng dẫn,သငတ် န်း် မ ်း,,,Instruktur,,,,,,,,,អ្នកបងាា តប់ ធម្រងៀន,,,,,,,,,,,,,,8
生活指導員,Life advisor,Tagapagturo ng pamumuhay,,,,生活指导员,,,,ผชู้ แี้ นะในการด ารงชพี,Người hướng dẫn đời sống,သနထငှို မ် ှုပ ုစ သလကဲ့ ငသ်ဲ့ ပ်းသူ,,,Pembimbing kehidupan sehari-hari,,,,,,,,,អ្នកបងាា តប់ ធម្រងៀនេីការ រស់ធៅ,,,,,,,,,,,,,,8
担当者,Person in charge,Person in charge / Taong namamahala,,,,负责人,,,,ผรู้ ับผดิ ชอบ,Người phụ trách,တာဝန ်,,,Penanggungjawab,,,,,,,,,អ្នក ួលខុសម្រតេូ,,,,,,,,,,,,,,8
スイッチ入れるな,Do not switch on.,Huwag i-on ang switch,,,,不许打开开关,,,,อยา่ เปิดสวติ ช์,Không được bật công tắc,လတု မ် ဖွငန်ဲ့ ဲ့,,,Jangan dinyalakan,,,,,,,,,កុំធបើកេរនតអ្គ្គិសនី,,,,,,,,,,,,,,8
スイッチ切るな,Do not switch off.,Huwag i-off ang switch,,,,不许关闭开关,,,,อยา่ ปิดสวติ ช์,Không được tắt công tắc,လတု မ် ပှိတန် ဲ့,,,Jangan dimatikan,,,,,,,,,កុំបិ េរនតអ្គ្គិនសី,,,,,,,,,,,,,,8
使用禁止,Do not use.,Bawal gamitin,,,,禁止使用,,,,หา้ มใช้,Cấm sử dụng,အသ်း ု မခပြုံရ,,,Dilarang menggunakan,,,,,,,,,ហាមធម្របើម្រាស់,,,,,,,,,,,,,,8
5S,5S,5S,,,,5S,,,,5 ส,5S,5S,,,"5S (Di Indonesia 5R :Ringkas, Rapi, Resik, Rawat, Rajin)",,,,,,,,,ស ៥,,,,,,,,,,,,,,8
整理,Seiri (Sorting),Suriin,,,,整理,,,,สะสาง,Seiri (sàng lọc),စနစ်တက ထာ်းရှိ ခ င်း် (Seiri),,,Ringkas,,,,,,,,,មាៃរបបៀប,,,,,,,,,,,,,,8
整頓,Seiton (Set in order),Sinupin,,,,整顿,,,,สะดวก,Seiton (sắp xếp),စ သတမ် တထ် ာ်းရှိ ခ င်း် (Sei-ton),,,Rapi,,,,,,,,,បរៀបរយ,,,,,,,,,,,,,,8
清潔,Seiketsu (standardize),Siguruhin ang kalinisan,,,,清洁,,,,สขุ ลักษณะ,Seiketsu (săn sóc),သနရ် ဲ့ င်း် သပ်ရပ်မှု (Sei-ketsu),,,Rawat,,,,,,,,,ស្ថា ត,,,,,,,,,,,,,,8
しつけ,Shitsuke (Sustain),Sariling Kusa,,,,素养,,,,สรา้ งนสิ ยั,Shitsuke (sẵn sàng),အစဉ်အလာဓသလထဲ့ ်း ု စ (Shi-tsuke),,,Rajin,,,,,,,,,វៃិ ័យ,,,,,,,,,,,,,,8
掃除（する）,Cleaning (to clean),Linis (Maglilinis),,,,扫除,,,,การท าความสะอาด (ท า ความสะอาด),(động từ) Làm vệ sinh,သနရ် ဲ့ င်း် သရ်း(လပု ်သည်),,,Pembersihan (Membersihkan),,,,,,,,,(ប្វីការ)សមាា ត,,,,,,,,,,,,,,8
片づける,To tidy up,Iaayos,,,,收拾,,,,จัดเกบ็ ใหเ้ขา้ ทเี่ ขา้ ทาง,Dọn dẹp,သမှိ ််းဆည်း် သည်,,,Membereskan,,,,,,,,,បរៀបចាំ,,,,,,,,,,,,,,8
捨てる,To throw away,Itatapon,,,,扔掉,,,,ทงิ้,Vứt bỏ,စွနပ် ဲ့ စ်သည်,,,Membuang,,,,,,,,,បចល,,,,,,,,,,,,,,8
汚い,Dirty,Marumi / Madumi,,,,脏,,,,สกปรก,Bẩn,ညစ်ပတသ် သာ,,,Kotor,,,,,,,,,ក្ខ្វក្់,,,,,,,,,,,,,,8
汚れる,To get dirty,Marumihan,,,,弄脏,,,,เปรอะ,Bị bẩn,ညစ်သပသည်,,,Kotor,,,,,,,,,្បលាក្់,,,,,,,,,,,,,,8
分別（する）,To sort waste,Klasipikasyon (Magbubukod),,,,分类,,,,การแบง่ แยกประเภท (แบง่ แยกประเภท),(động từ) Phân loại,အမ ှိြုံ်းအစာ်း ခွ ာ်း(သည်),,,Pemisahan (Memisahkan),,,,,,,,,(ប្វីការ)ដបងដចក្,,,,,,,,,,,,,,8
燃えないごみ,Nonburnable waste,Basurang hindi sinusunog,,,,不可燃垃圾,,,,ขยะเผาไมไ่ ด้,Rác không cháy được,မ ်းရှုှိွဲ့လမှို ဲ့ ရတအ ဲ့ မှိှုက်,,,Sampah tak mudah terbakar,,,,,,,,,ស្មាមមិៃប ះ,,,,,,,,,,,,,,8
燃えるごみ,Burnable waste,Basurang sinusunog,,,,可燃垃圾,,,,ขยะเผาได้,Rác cháy được,မ ်းရှုှိွဲ့လရှို ဲ့ တအ ဲ့ မှိှုက်,,,Sampah mudah terbakar,,,,,,,,,ស្មាមប ះ,,,,,,,,,,,,,,8
