ファイル名,ページ,番号,日本語,翻訳
タイ語_pdfplumber_抽出_最終版.csv,1,1.0,技能実習,การฝึกงานดา้ นเทคนคิ
タイ語_pdfplumber_抽出_最終版.csv,1,2.0,技能実習生,ผฝู้ ึกงานดา้ นเทคนคิ
タイ語_pdfplumber_抽出_最終版.csv,1,3.0,工場,โรงงาน
タイ語_pdfplumber_抽出_最終版.csv,1,4.0,製造,ผลติ
タイ語_pdfplumber_抽出_最終版.csv,1,5.0,機械,เครอื่ งจักร
タイ語_pdfplumber_抽出_最終版.csv,1,6.0,安全,ปลอดภัย
タイ語_pdfplumber_抽出_最終版.csv,1,7.0,危険（な）,อนั ตราย (ทอี่ นั ตราย)
タイ語_pdfplumber_抽出_最終版.csv,1,8.0,危ない,อนั ตราย
タイ語_pdfplumber_抽出_最終版.csv,1,9.0,清掃,สะอาด
タイ語_pdfplumber_抽出_最終版.csv,7,4.0,清掃,สะอาด
タイ語_pdfplumber_抽出_最終版.csv,1,10.0,非常口,ทางออกฉุกเฉนิ
タイ語_pdfplumber_抽出_最終版.csv,1,11.0,注意,ระวัง
タイ語_pdfplumber_抽出_最終版.csv,1,12.0,火事,ไฟไหม้
タイ語_pdfplumber_抽出_最終版.csv,1,13.0,事故,อบุ ัตเิ หตุ
タイ語_pdfplumber_抽出_最終版.csv,1,14.0,服装,เครอื่ งแตง่ กาย
タイ語_pdfplumber_抽出_最終版.csv,1,15.0,安全装置,อปุ กรณ์ความปลอดภัย
タイ語_pdfplumber_抽出_最終版.csv,2,1.0,安全カバー,ฝาครอบป้องกนั
タイ語_pdfplumber_抽出_最終版.csv,26,1.0,安全カバー,ฝาครอบป้องกัน
タイ語_pdfplumber_抽出_最終版.csv,2,2.0,けが,บาดเจ็บ
タイ語_pdfplumber_抽出_最終版.csv,2,3.0,けがをする,ไดร้ ับบาดเจ็บ
タイ語_pdfplumber_抽出_最終版.csv,2,4.0,電源,แหลง่ จา่ ยไฟฟ้า
タイ語_pdfplumber_抽出_最終版.csv,2,5.0,電源を切る,ตัดไฟ
タイ語_pdfplumber_抽出_最終版.csv,2,6.0,非常停止ボタン,ป่มุ หยดุ ฉุกเฉนิ
タイ語_pdfplumber_抽出_最終版.csv,2,7.0,非常停止ボタンを押す,กดป่มุ หยดุ ฉุกเฉนิ
タイ語_pdfplumber_抽出_最終版.csv,2,8.0,ルール,กฎระเบยี บ
タイ語_pdfplumber_抽出_最終版.csv,2,9.0,ルールを守る,เคารพกฎระเบยี บ
タイ語_pdfplumber_抽出_最終版.csv,2,10.0,止める,หยดุ
タイ語_pdfplumber_抽出_最終版.csv,2,11.0,機械を止める,หยดุ เครอื่ งจักร
タイ語_pdfplumber_抽出_最終版.csv,2,12.0,やって,ท าสิ
タイ語_pdfplumber_抽出_最終版.csv,2,13.0,止めて,หยดุ สิ
タイ語_pdfplumber_抽出_最終版.csv,2,14.0,取って,หยบิ สิ
タイ語_pdfplumber_抽出_最終版.csv,2,15.0,だめ（な）,ไมไ่ ด ้(ทไี่ มไ่ ด)้
タイ語_pdfplumber_抽出_最終版.csv,3,1.0,監理団体,องคก์ รทกี่ ำกบั ดแู ล
タイ語_pdfplumber_抽出_最終版.csv,3,2.0,技術移転,กำรถำ่ ยทอดเทคนคิ
タイ語_pdfplumber_抽出_最終版.csv,3,3.0,技能実習期間,ระยะเวลำกำรฝึกงำนดำ้ น เทคนคิ
タイ語_pdfplumber_抽出_最終版.csv,3,4.0,職種,ประเภทอำชพี
タイ語_pdfplumber_抽出_最終版.csv,3,5.0,在留資格,สถำนภำพกำรพ ำนัก
タイ語_pdfplumber_抽出_最終版.csv,3,6.0,パスポート,หนังสอื เดนิ ทำง
タイ語_pdfplumber_抽出_最終版.csv,3,7.0,在留カード,บัตรสถำนภำพกำรพ ำนัก
タイ語_pdfplumber_抽出_最終版.csv,3,8.0,入管,ตม.
タイ語_pdfplumber_抽出_最終版.csv,3,9.0,在留期間,ระยะเวลำกำรพ ำนัก
タイ語_pdfplumber_抽出_最終版.csv,3,10.0,雇用契約,สญั ญำจำ้ งงำน
タイ語_pdfplumber_抽出_最終版.csv,3,11.0,給与明細,สลปิ เงนิ เดอื น
タイ語_pdfplumber_抽出_最終版.csv,3,12.0,給料,เงนิ เดอื น
タイ語_pdfplumber_抽出_最終版.csv,3,13.0,残業手当,คำ่ ลว่ งเวลำ
タイ語_pdfplumber_抽出_最終版.csv,3,14.0,労働時間,เวลำท ำงำน
タイ語_pdfplumber_抽出_最終版.csv,4,1.0,控除（する）,การลดหยอ่ น (ลดหยอ่ น)
タイ語_pdfplumber_抽出_最終版.csv,4,2.0,ボーナス,โบนัส
タイ語_pdfplumber_抽出_最終版.csv,4,3.0,有休,ไดร้ ับคา่ จา้ ง
タイ語_pdfplumber_抽出_最終版.csv,4,4.0,代休,หยดุ ชดเชย
タイ語_pdfplumber_抽出_最終版.csv,4,5.0,労働基準法,กฎหมายมาตรฐาน แรงงาน
タイ語_pdfplumber_抽出_最終版.csv,4,6.0,労働条件,เงอื่ นไขแรงงาน
タイ語_pdfplumber_抽出_最終版.csv,4,7.0,税金,ภาษี
タイ語_pdfplumber_抽出_最終版.csv,4,8.0,所得税,ภาษีเงนิ ได้
タイ語_pdfplumber_抽出_最終版.csv,4,9.0,住民税,ภาษีบ ารงุ ทอ้ งที่
タイ語_pdfplumber_抽出_最終版.csv,4,10.0,厚生年金,กองทนุ สา รองเลยี้ งชพี
タイ語_pdfplumber_抽出_最終版.csv,4,11.0,雇用保険,ประกนั การจา้ งงาน
タイ語_pdfplumber_抽出_最終版.csv,4,12.0,健康保険,
タイ語_pdfplumber_抽出_最終版.csv,5,13.0,社会保険,ประกนั สงั คม
タイ語_pdfplumber_抽出_最終版.csv,5,14.0,労災,อบุ ัตเิ หตแุ ละความ เสยี หายทเี่ กดิ ขนึ้ ระหวา่ งการท างาน
タイ語_pdfplumber_抽出_最終版.csv,5,15.0,労災保険,ประกนั อบุ ัตเิ หตแุ ละ ความเสยี หายทเี่ กดิ ขนึ้ ระหวา่ งการท างาน
タイ語_pdfplumber_抽出_最終版.csv,6,1.0,遅刻（する）,การมาสาย (มาสาย)
タイ語_pdfplumber_抽出_最終版.csv,6,2.0,早退（する）,การกลับกอ่ นเวลา (กลับ กอ่ นเวลา)
タイ語_pdfplumber_抽出_最終版.csv,6,3.0,休憩（する）,การพัก (พัก)
タイ語_pdfplumber_抽出_最終版.csv,6,4.0,残業（する）,การท างานลว่ งเวลา (ท างานลว่ งเวลา)
タイ語_pdfplumber_抽出_最終版.csv,6,5.0,定時,ตามเวลาทกี่ าหนด
タイ語_pdfplumber_抽出_最終版.csv,6,6.0,規則,กฎขอ้ บังคับ
タイ語_pdfplumber_抽出_最終版.csv,6,7.0,休日,วันหยดุ
タイ語_pdfplumber_抽出_最終版.csv,6,8.0,始業時間,เวลาเรมิ่ งาน
タイ語_pdfplumber_抽出_最終版.csv,6,9.0,終業時間,เวลาเลกิ งาน
タイ語_pdfplumber_抽出_最終版.csv,6,10.0,指導員,ผชู้ แี้ นะ
タイ語_pdfplumber_抽出_最終版.csv,6,11.0,生活指導員,ผชู้ แี้ นะในการด ารงชพี
タイ語_pdfplumber_抽出_最終版.csv,6,12.0,担当者,ผรู้ ับผดิ ชอบ
タイ語_pdfplumber_抽出_最終版.csv,6,13.0,スイッチ入れるな,อยา่ เปิดสวติ ช์
タイ語_pdfplumber_抽出_最終版.csv,6,14.0,スイッチ切るな,อยา่ ปิดสวติ ช์
タイ語_pdfplumber_抽出_最終版.csv,6,15.0,使用禁止,หา้ มใช้
タイ語_pdfplumber_抽出_最終版.csv,7,1.0,5S,5 ส
タイ語_pdfplumber_抽出_最終版.csv,7,2.0,整理,สะสาง
タイ語_pdfplumber_抽出_最終版.csv,7,3.0,整頓,สะดวก
タイ語_pdfplumber_抽出_最終版.csv,7,5.0,清潔,สขุ ลักษณะ
タイ語_pdfplumber_抽出_最終版.csv,7,6.0,しつけ,สรา้ งนสิ ยั
タイ語_pdfplumber_抽出_最終版.csv,7,7.0,掃除（する）,การท าความสะอาด (ท า ความสะอาด)
タイ語_pdfplumber_抽出_最終版.csv,8,8.0,片づける,จัดเกบ็ ใหเ้ขา้ ทเี่ ขา้ ทาง
タイ語_pdfplumber_抽出_最終版.csv,47,1.0,片づける,เก็บของเขา้ ที่
タイ語_pdfplumber_抽出_最終版.csv,8,9.0,捨てる,ทงิ้
タイ語_pdfplumber_抽出_最終版.csv,47,2.0,捨てる,ทงิ้
タイ語_pdfplumber_抽出_最終版.csv,8,10.0,汚い,สกปรก
タイ語_pdfplumber_抽出_最終版.csv,8,11.0,汚れる,เปรอะ
タイ語_pdfplumber_抽出_最終版.csv,8,12.0,分別（する）,การแบง่ แยกประเภท (แบง่ แยกประเภท)
タイ語_pdfplumber_抽出_最終版.csv,8,13.0,燃えないごみ,ขยะเผาไมไ่ ด้
タイ語_pdfplumber_抽出_最終版.csv,8,14.0,燃えるごみ,ขยะเผาได้
タイ語_pdfplumber_抽出_最終版.csv,8,15.0,挟まれる,ถกู หนีบ
タイ語_pdfplumber_抽出_最終版.csv,8,16.0,巻き込まれる,โดนเกยี่ ว
タイ語_pdfplumber_抽出_最終版.csv,8,17.0,やけど（する）,แผลไฟลวก (โดนไฟลวก)
タイ語_pdfplumber_抽出_最終版.csv,8,18.0,落ちる,ตก
タイ語_pdfplumber_抽出_最終版.csv,8,19.0,すべる,ลนื่
タイ語_pdfplumber_抽出_最終版.csv,9,20.0,転ぶ,หกลม้
タイ語_pdfplumber_抽出_最終版.csv,9,21.0,濡れる,เปียก
タイ語_pdfplumber_抽出_最終版.csv,9,22.0,衛生,อนามัย
タイ語_pdfplumber_抽出_最終版.csv,9,23.0,避難（する）,การอพยพหนีภัย (อพยพ หนีภัย)
タイ語_pdfplumber_抽出_最終版.csv,9,24.0,救急車,รถพยาบาล
タイ語_pdfplumber_抽出_最終版.csv,9,25.0,災害,ภัยพบิ ัติ
タイ語_pdfplumber_抽出_最終版.csv,9,26.0,地震,แผน่ ดนิ ไหว
タイ語_pdfplumber_抽出_最終版.csv,9,27.0,もぐる,มดุ
タイ語_pdfplumber_抽出_最終版.csv,10,1.0,火気厳禁,หา้ มใชไ้ ฟ
タイ語_pdfplumber_抽出_最終版.csv,18,3.0,火気厳禁,หา้ มจดุ ไฟ
タイ語_pdfplumber_抽出_最終版.csv,10,2.0,開放厳禁,หา้ มเปิดทงิ้ ไว้
タイ語_pdfplumber_抽出_最終版.csv,10,3.0,標識,เครอื่ งหมาย
タイ語_pdfplumber_抽出_最終版.csv,10,4.0,気をつける,ระมัดระวัง
タイ語_pdfplumber_抽出_最終版.csv,10,5.0,持ち込む,น าเขา้ ไป
タイ語_pdfplumber_抽出_最終版.csv,10,6.0,防ぐ,ป้องกนั
タイ語_pdfplumber_抽出_最終版.csv,10,7.0,火,ไฟ
タイ語_pdfplumber_抽出_最終版.csv,10,8.0,煙,ควัน
タイ語_pdfplumber_抽出_最終版.csv,10,9.0,消火,ดับเพลงิ
タイ語_pdfplumber_抽出_最終版.csv,10,10.0,消火器,ถังดับเพลงิ
タイ語_pdfplumber_抽出_最終版.csv,19,11.0,消火器,ถังดับเพลงิ
タイ語_pdfplumber_抽出_最終版.csv,10,11.0,非常ベル,กระดงิ่ เตอื นภัย
タイ語_pdfplumber_抽出_最終版.csv,10,12.0,火災報知機,เครอื่ งเตอื นอคั คภี ัย
タイ語_pdfplumber_抽出_最終版.csv,10,13.0,逃げる,หลบหนี
タイ語_pdfplumber_抽出_最終版.csv,10,14.0,現場,หนา้ งาน
タイ語_pdfplumber_抽出_最終版.csv,10,15.0,作業,งาน
タイ語_pdfplumber_抽出_最終版.csv,10,16.0,ミーティング,มตี ตงิ้
タイ語_pdfplumber_抽出_最終版.csv,10,17.0,研修（する）,การฝึกงาน (ฝึกงาน)
タイ語_pdfplumber_抽出_最終版.csv,10,18.0,実習（する）,การฝึกภาคปฏบิ ัต ิ(ฝึก ภาคปฏบิ ัต)ิ
タイ語_pdfplumber_抽出_最終版.csv,10,19.0,あいさつ,ทักทาย
タイ語_pdfplumber_抽出_最終版.csv,10,20.0,確認（する）,การตรวจสอบ (ตรวจสอบ)
タイ語_pdfplumber_抽出_最終版.csv,15,16.0,確認（する）,"การตรวจยนื ยนั (ตรวจ ยนื ยนั ), การตรวจสอบ (ตรวจสอบ)"
タイ語_pdfplumber_抽出_最終版.csv,11,21.0,報告（する）,การรายงาน (รายงาน)
タイ語_pdfplumber_抽出_最終版.csv,11,22.0,連絡（する）,การตดิ ตอ่ (ตดิ ตอ่ )
タイ語_pdfplumber_抽出_最終版.csv,11,23.0,相談（する）,การปรกึ ษา (ปรกึ ษา)
タイ語_pdfplumber_抽出_最終版.csv,11,24.0,渡す,ยนื่ ให้
タイ語_pdfplumber_抽出_最終版.csv,11,25.0,申請書,ใบค ารอ้ ง
タイ語_pdfplumber_抽出_最終版.csv,11,26.0,寝坊（する）,่ ่ การตนื สาย (ตนื สาย)
タイ語_pdfplumber_抽出_最終版.csv,12,1.0,技能,ทกั ษะทางเทคนิค
タイ語_pdfplumber_抽出_最終版.csv,12,2.0,技能検定試験,การสอบวดั ระดับทกั ษะ ทางเทคนคิ
タイ語_pdfplumber_抽出_最終版.csv,12,3.0,受検（する）,การเขา้ สอบ (เขา้ สอบ)
タイ語_pdfplumber_抽出_最終版.csv,12,4.0,資格,คณุ สมบัติ
タイ語_pdfplumber_抽出_最終版.csv,12,5.0,手当,"เบยี้ เลยี้ ง, เงนิ ชว่ ยเหลอื"
タイ語_pdfplumber_抽出_最終版.csv,12,6.0,社員,พนักงานบรษิ ัท
タイ語_pdfplumber_抽出_最終版.csv,12,7.0,部長,หัวหนา้ ฝ่าย
タイ語_pdfplumber_抽出_最終版.csv,12,8.0,課長,หัวหนา้ แผนก
タイ語_pdfplumber_抽出_最終版.csv,12,9.0,更衣室,หอ้ งเปลยี่ นเสอื้ ผา้
タイ語_pdfplumber_抽出_最終版.csv,12,10.0,台車,รถเข็น
タイ語_pdfplumber_抽出_最終版.csv,12,11.0,床,พนื้
タイ語_pdfplumber_抽出_最終版.csv,12,12.0,出口,ทางออก
タイ語_pdfplumber_抽出_最終版.csv,12,13.0,電気,ไฟฟ้า
タイ語_pdfplumber_抽出_最終版.csv,12,14.0,警報音,เสยี งสัญญานเตอื นภัย
タイ語_pdfplumber_抽出_最終版.csv,12,15.0,コンセント,"ปล๊กั ไฟ(ตัวเมยี ), เตา้ เสยี บ"
タイ語_pdfplumber_抽出_最終版.csv,12,16.0,作業場,สถานทปี่ ฏบิ ัตงิ าน
タイ語_pdfplumber_抽出_最終版.csv,12,17.0,作業台,โตะ๊ ท างานชา่ ง
タイ語_pdfplumber_抽出_最終版.csv,12,18.0,工事現場,สถานทกี่ อ่ สรา้ ง
タイ語_pdfplumber_抽出_最終版.csv,12,19.0,職長,หัวหนา้ งาน
タイ語_pdfplumber_抽出_最終版.csv,25,25.0,職長,หวั หนา้ งาน
タイ語_pdfplumber_抽出_最終版.csv,12,20.0,作業責任者,ผรู้ ับผดิ ชอบงาน
タイ語_pdfplumber_抽出_最終版.csv,13,1.0,禁止,หา้ ม
タイ語_pdfplumber_抽出_最終版.csv,13,2.0,表示板,ป้ายประกาศ
タイ語_pdfplumber_抽出_最終版.csv,13,3.0,禁止事項,ขอ้ หา้ ม
タイ語_pdfplumber_抽出_最終版.csv,13,4.0,避難訓練,การฝึกหลบภัยหรอื หนีภัย
タイ語_pdfplumber_抽出_最終版.csv,13,5.0,感電（する）,"ไฟฟ้าดดู (ถกู ไฟฟ้าดดู ), ไฟฟ้าช็อต (ถกู ไฟฟ้าช็อต)"
タイ語_pdfplumber_抽出_最終版.csv,13,6.0,防止（する）,การป้องกนั ไมใ่ หเ้กดิ (ป้องกนั ไมใ่ หเ้กดิ )
タイ語_pdfplumber_抽出_最終版.csv,13,7.0,予防（する）,การป้องกนั ลว่ งหนา้ (ป้องกนั ลว่ งหนา้ )
タイ語_pdfplumber_抽出_最終版.csv,13,8.0,転倒（する）,"ลม้ (ลม้ ), การหกลม้ (หก ลม้ )"
タイ語_pdfplumber_抽出_最終版.csv,13,9.0,挟まる,"คั่น, หนีบ, ตดิ อยู่"
タイ語_pdfplumber_抽出_最終版.csv,13,10.0,足元,ทเี่ ทา้
タイ語_pdfplumber_抽出_最終版.csv,13,11.0,不安定（な）,ไมม่ ั่นคง
タイ語_pdfplumber_抽出_最終版.csv,13,12.0,後片付け,ท าความสะอาดและเกบ็ เขา้ ที่
タイ語_pdfplumber_抽出_最終版.csv,13,13.0,救急箱,กลอ่ งปฐมพยาบาล
タイ語_pdfplumber_抽出_最終版.csv,13,14.0,絆創膏,"พลาสเตอรย์ า, เทป สา หรับปิดแผล"
タイ語_pdfplumber_抽出_最終版.csv,13,15.0,体調,สภาพรา่ งกาย
タイ語_pdfplumber_抽出_最終版.csv,14,16.0,血,เลอื ด
タイ語_pdfplumber_抽出_最終版.csv,14,17.0,熱中症,โรคลมแดด
タイ語_pdfplumber_抽出_最終版.csv,14,18.0,吐き気,คลนื่ ไส้
タイ語_pdfplumber_抽出_最終版.csv,14,19.0,嘔吐（する）,อาเจยี น (อาเจยี น)
タイ語_pdfplumber_抽出_最終版.csv,14,20.0,足がつる,มอี าการตะครวิ ทขี่ า
タイ語_pdfplumber_抽出_最終版.csv,14,21.0,気分が悪い,รสู้ กึ ไมส่ บาย
タイ語_pdfplumber_抽出_最終版.csv,14,22.0,寝不足,นอนไมพ่ อ
タイ語_pdfplumber_抽出_最終版.csv,14,23.0,安全ネット,เครอื ขา่ ยความปลอดภัย
タイ語_pdfplumber_抽出_最終版.csv,14,24.0,安全点検,การตรวจเช็คความ ปลอดภัย
タイ語_pdfplumber_抽出_最終版.csv,15,1.0,KY活動（危険予知活動）,กจิ กรรมKY (กจิ กรรมฝึก การคาดการณ์อนั ตราย ลว่ งหนา้ )
タイ語_pdfplumber_抽出_最終版.csv,15,2.0,危険,อนั ตราย
タイ語_pdfplumber_抽出_最終版.csv,15,3.0,ぶつかる,ชน
