,単語,再翻訳,類似度_claude,スコア
700,縦筋,縦方向の補強,100%,100
701,下筋,下部補強,100%,100
702,横筋,横方向の補強,100%,100
703,腹筋,体の骨（ウェブ）,20%,20
704,上筋,上部補強,100%,100
705,かぶり厚さ,毛布の厚さ,30%,30
706,ℝ度,Rサイズ（半径）,60%,60
707,千鳥結束,交互結び,100%,100
708,切断寸法,切断長さ,100%,100
709,加工寸法,製作サイズ,100%,100
710,重ね継手,重ね継ぎ,100%,100
711,圧接継手,プレス溶接継手,100%,100
712,開口部,絞り,30%,30
713,溶接金網,金網（溶接金網）,100%,100
714,搬出,発行/発送,20%,20
715,搬入,入力/送信,20%,20
716,機械式継手,機械的接続,100%,100
717,配筋検査,補強検査,100%,100
718,トラクタショベル,トラクターショベル,100%,100
719,ブレード（排土板）,ブレード（ドーザー）,95%,95
720,クローラ,トラック/チェーン,95%,95
721,"作業装置
（アタッチメント）",作業機（アタッチメント）,100%,100
722,軽油,太陽光（ディーゼル）,40%,40
723,発進,歩き始める,70%,70
724,アイドリング,アイドル,100%,100
725,走行,徒歩 / 運転,70%,70
726,旋回,ターン/ターン（スイング）,95%,95
727,安全支柱,安全ブレース,100%,100
728,補給（する）,充填/追加,100%,100
729,駐車（する）,駐車場,80%,80
730,転圧（する）,圧縮,100%,100
731,接触（する）,タッチ/接触,100%,100
732,作動（する）,操作する,90%,90
733,整備（する）,メンテナンス/サービス,100%,100
734,点検（する）,検査・診察,90%,90
735,動かす,移動,100%,100
736,操作（する）,オペレーティング,95%,95
737,停止（する）,停止/停止,100%,100
738,押す,押す,100%,100
739,集める,集める,100%,100
740,縛る,ネクタイ,30%,30
741,揃える,水平調整/位置合わせ,100%,100
742,結ぶ,ネクタイ,30%,30
743,調整（する）,調整/カスタマイズ,95%,95
744,閉じる,近い,20%,20
745,取り出す,放出する,85%,85
746,戻す,戻る,95%,95
747,仕上げる,仕上げ,100%,100
748,折れる,壊れた,85%,85
749,欠ける,剥離/侵食,70%,70
750,近づく,近づいてくる,100%,100
751,固定（する）,固定/締め付け,100%,100
752,ゆるめる,リラックス,30%,30
753,伸ばす,長くする/伸ばす,100%,100
754,外す,手放す,85%,85
755,出す,放出する,95%,95
756,乾かす,乾燥,100%,100
757,運ぶ,輸送,100%,100
758,積む,積載/積み重ね,100%,100
759,下ろす,降ろし/荷降ろし,100%,100
760,測定（する）,測定/計測,100%,100
761,計測（する）,測定,100%,100
762,高さ,高い,80%,80
763,重さ,重い,80%,80
764,硬さ,暴力,0%,0
765,すきま,隙間・ゆるみ,95%,95
766,値,マーク,30%,30
767,安定（する）,安定している / 安定しつつある,100%,100
768,数,額,40%,40
769,中,内側/中間,100%,100
770,周り,その周り,100%,100
771,尺,尺（日本の単位）,100%,100
772,掃く,掃除,100%,100
773,束ねる,バンドル/1つにまとめる,100%,100
774,足をくじく,足首の捻挫,100%,100
775,一輪車,一輪車（手押し車）,100%,100
776,支柱,ポーランド人,0%,0
777,技能実習,スキルインターンシップ,100%,100
778,技能実習生,スキルインターン,100%,100
779,危ない,危険/リスクあり,100%,100
780,清掃,クリーン,100%,100
781,注意,注意 / 警告,100%,100
782,火事,やけど,50%,50
783,服装,衣類,100%,100
784,安全カバー,安全カバー/保護フード,100%,100
785,電源を切る,電源を切ってください。,100%,100
786,非常停止ボタンを押す,緊急停止ボタンを押してください。,100%,100
787,やって,やれよ,70%,70
788,止めて,やめろ/やめろ,95%,95
789,取って,持って行って／持ってきて,80%,80
790,だめ（な）,禁止/許可されていません,100%,100
791,技能実習期間,インターンシップ期間,100%,100
792,職種,職業/職種,100%,100
793,在留資格,居住ステータス,100%,100
794,在留カード,宿泊カード,60%,60
795,控除（する）,減算,85%,85
796,代休,代休・代替休,100%,100
797,労働基準法,雇用基本条件法（SA）,80%,80
798,税金,課税,95%,95
799,住民税,市税,90%,90
800,雇用保険,失業保険,95%,95
801,労災保険,労働災害に対する補償,100%,100
802,遅刻（する）,遅すぎる,85%,85
803,早退（する）,早めの出発,100%,100
804,休憩（する）,休憩中,100%,100
805,定時,固定労働時間,100%,100
806,スイッチ入れるな,スイッチを入れないでください。,100%,100
807,スイッチ切るな,スイッチをオフにしないでください。,100%,100
808,整頓,整頓（せいとん）,100%,100
809,清掃,清掃（季節）,100%,100
810,清潔,清潔,100%,100
811,片づける,片付ける/掃除する,100%,100
812,分別（する）,廃棄物を分別する,100%,100
813,燃えないごみ,不燃性廃棄物,100%,100
814,挟まれる,行き詰まる,70%,70
815,巻き込まれる,絡まる/引き込まれる,100%,100
816,やけど（する）,火傷を負う,100%,100
817,すべる,スライド,95%,95
818,転ぶ,つまずいて転ぶ,100%,100
819,避難（する）,退去,100%,100
820,もぐる,隠れる/潜む,80%,80
821,開放厳禁,開けないでください。,100%,100
822,標識,星座 / 牡羊座管,0%,0
823,気をつける,気をつけて。,100%,100
824,非常ベル,目覚まし時計 / 非常ベル,95%,95
825,逃げる,逃走,100%,100
826,現場,職場/現場,100%,100
827,実習（する）,実習,100%,100
828,あいさつ,挨拶する,100%,100
829,渡す,引き渡す,100%,100
830,寝坊（する）,お泊まり会,0%,0
831,技能検定試験,スキルテスト,100%,100
832,手当,付与,60%,60
833,課長,部長／課長,95%,95
834,台車,トロリー,100%,100
835,警報音,警報信号,100%,100
836,コンセント,壁コンセント/電源接続,100%,100
837,職長,フォアマン / フォアマン,100%,100
838,作業責任者,作業管理者/作業監督者,100%,100
839,表示板,銘板/表示板,100%,100
840,感電（する）,感電する,100%,100
841,転倒（する）,転倒する,100%,100
842,後片付け,仕事後の掃除,100%,100
843,KY活動（危険予知活動）,KY活動（危険予報）,95%,95
844,ぶつかる,衝突,100%,100
845,当たる,タッチ/ヒット,85%,85
846,下敷きになる,何かの下に押し込まれる,100%,100
847,倒れる,倒れる / 崩壊する,100%,100
848,指差呼称,指差し呼び出し,100%,100
849,落下（する）,落下/落下,100%,100
850,墜落（する）,墜落/高所からの落下,100%,100
851,作業靴,作業靴・安全靴,100%,100
852,帽子,キャップ,100%,100
853,保護具,個人用保護具,100%,100
854,ボタン,ボタン/ボタン,100%,100
855,ポケット,バッグ,50%,50
856,マスク,マスク,100%,100
857,業務,仕事/サービス,95%,95
858,朝礼,朝の会議 / 朝のブリーフィング,100%,100
859,調子,州,0%,0
860,立入禁止,アクセス禁止,100%,100
861,足もと注意,どこに足を踏み入れるか注意してください。,100%,100
862,開口部注意,隙間に注意,100%,100
863,堕落注意,落下の危険に注意してください,95%,95
864,頭上注意,上からの危険に注意してください,100%,100
865,保護帽着用,安全ヘルメットを着用してください。,100%,100
866,昇降階段,階段,95%,95
867,整理整頓,清潔さと秩序,100%,100
868,安全通路,安全な廊下,95%,95
