日本語,PyMuPDF値,pdfplumber値,一致,Page,No
5S,ស ៥,ស ៥,True,7,1
AED設置場所,ទីតងំ បំពកា A់ ED,ទីតងំ បំពាកA់ ED,False,18,12
KY活動（危険予知活動）,សកមមភ្ ពា KY (សកមមភ្ ពា ពាករណ៏ហា នីភយ)័,សកម្មភាពKY (សកម្មភាពពាករណ៏ហា នីភយ)័,False,14,1
あいさつ,ររវកិច,ររវកិចច,False,11,19
あごひも,សស្ ែរកវ៉ាត់ចងា រា,ស្សែរកវ៉ាត់ចងាា រ,False,15,8
あばら筋,េរសេដែកលកាណ:នអឹរជំនឺ,េរសេដែកលកាណ:នអឹរជំនឺ,True,33,25
かけや,ញញ̳ រេឈ̶,ញញ(cid:819)រេឈ(cid:822),False,19,3
かぶり厚さ,កមលសា ់នគ្ ប,កមាល ស់ន្គប,False,34,10
かぶり寸法,ករមេ់រ្ប,ករមេ់រ្ប,True,30,25
けが,របួស,របួស,True,2,2
けがをする,មនា របួស,មានរបួស,False,2,3
けこみ板,កា បា ញឈ្ រ,កាា បញ្ឈរ,False,26,17
しつけ,វៃិ ័យ,វៃិ ័យ,True,7,6
しゃがむ,អងគុ្យ(ដចងា ្ដោង្),អង្គ ុយ(ដចាង្ដោង្),False,42,18
すきま,ចមន្ លោា ះ,ចម្នាល ោះ,False,44,14
すき間,ចមនលះ្ទ,ចមន្ទល ះ,False,23,16
すべる,រអិល,រអិល,True,8,19
たち,បញឈ្ រ,បញ្ឈរ,False,24,24
だめ（な）,(ដែល)រិនបនា,(ដែល)រិនបាន,False,2,15
はかま筋,សរសសដែកលកខណ:កន្រ តក,សរសសដែកលកខណ:កន្រ្តក,False,34,1
はね出し,ករា សចញកា ពា បី សគោ ល,ការសចញកាា ពបី សគោ ល,False,29,17
はらみ,ភព្ជសប៉ា ងច៉ុោះ,ភ្ជពសប៉ា ងច៉ុោះ,False,29,18
ぶつかる,ប ោទះ ងគិច្,ប ោះទង្គិច,False,14,3
もぐる,មុ្,មុ្,True,9,27
やけど（する）,(មៃា )រលកា ្,(មាៃ)រលាក្,False,8,17
やって,ស៊ូរព្វើ,ស៊ូរព្វើ,True,2,12
ゆるめる,បនធរូ,បនធ រូ,False,43,11
アイドリング,បល្ឆេលះចលា,បល្ឆេះលចាល,False,41,14
アンカー,ដែកយុថា ា,ដែកយុថាា,False,31,8
アーム,ដែគលើក,ដែគលើក,True,38,12
インサート,បញចល្ូ,បញ្ច លូ,False,25,3
エンジン,ម៉ា សុីន,ម៉ា សុីន,True,38,18
エンジンオイル,គតប្រ ងម៉ា សុីន,គត្របងម៉ា សុីន,False,39,20
キャッチクランプ,ដងȠ ̮ំȴប់,ដង(cid:544)(cid:814)ំ(cid:564)ប់,False,19,6
キー（鍵）,គស្ក,គស្ក,True,38,16
クラッチ,អាំដា្ យ,អាំដ្ាយ,False,40,11
クレーン,ʤ៉សុីនសɼ ̱ច,(cid:676)៉សុីនស(cid:636) (cid:817)ច,False,20,12
クローラ,តច្រ វកា ់,ត្រចវាក់,False,38,15
ケレン,ករា េំសលៀង,ការេំសលៀង,False,28,3
コンクリート,សបតុ្ង,សបត្ុង,False,26,19
コンセント,បព្ ីធ្ាើង,ប្ពីធ្ាើង,False,12,15
コンベックス,ឧបករណ៏វសា ់ ផវ្ ង,ឧបករណ៏វាស់ ផ្វង,False,26,20
ショベル,តប ល,តប ល,True,47,3
シングル,ឯក,ឯក,True,35,12
ジョイント金具,ែដកតំណ,ែដកតំណ,True,20,19
スイッチを切る,បិទកុងតកា ់,បិទកុងតាក់,False,43,9
スイッチ入れるな,កុំធបើកេរនតអគ្ គិ្សនី,កុំធបើកេរនតអ្គ្គិសនី,False,6,13
スイッチ切るな,កុំបិ េរនតអគ្ គិ្នសី,កុំបិ េរនតអ្គ្គិនសី,False,6,14
スタイロフォーム,បនទោះសនា,បនទោះសនា,True,26,13
ストレートシャックル,តួʤ៉សុីនˏʺ នʲងʰតង់,តួ(cid:676)៉សុីន(cid:719)(cid:698)ន(cid:690)ង(cid:688)តង់,False,19,10
スパイラル筋,សរសសដែកលកខណ:រងវង់,សរសសដែកលកខណ:រងវង់,True,34,8
スペーサ,ឧបករណ៏រកាចស្ែោះ,ឧបករណ៏រកាចស្ែ ោះ,False,25,4
スペーサ―,ឧបករណ៏រកាចប្លះ,ឧបករណ៏រកាចប្ល ះ,False,31,10
スラブ天端,រកឡបា នែកខងា សលើនៃេំណង់,រកឡាបនែកខាងសលើនៃេំណង់,False,28,7
スラブ筋,េរសេងក្ ឡា,េរសេង្កឡា,False,32,19
タイヤ,សំបកកង់,សំបកកង់,True,38,14
ダブル,ឡទវ,ឡទវ,True,35,13
ダンプトラック,តា្រ ក់ទ័រែឹកែី,ត្រាក់ទ័រែឹកែី,False,37,5
ディーゼルエンジン,ម៉ា សុីនគតប្រ ើម៉ា សូ រ,ម៉ា សុីនគត្របើម៉ា សូ រ,False,39,19
トラクタ,តា្រ ក់ទរ័,ត្រាក់ទរ័,False,37,1
トラクタショベル,តា្រ ក់ទ័រឈូសែី,ត្រាក់ទ័រឈូសែី,False,37,3
ドーナツ,ឧបករណ៏រកាចប្លះររា ជរា រវរ់(ែូណតា ់),ឧបករណ៏រកាចប្ល ះរារ ជាររវរ់(ែូណាត់),False,32,11
バイブレーター,ម៉ា សុ៊ីនរំញ៉ារ័,ម៉ា សុ៊ីនរំញ៉ារ័,True,26,15
バケット,ដប៉ាលចូក,ដប៉ាលចូក,True,38,10
バックホウ,តា្រ ក់ទរក័ យា ែី(គអសសា )្ក,ត្រាក់ទរកា័ យែី(គអសស្កា ),False,37,7
バッテリ,អេា ុយ,អាេុយ,False,39,22
バランスを崩す,បរា ់បង់រ្ លយភពា,បារ់បង្់រ លយភាព,False,14,7
パスポート,លិខិតឆលង្ ដ្ ែន,លិខិតឆ្លង្ដែន,False,3,6
パッキン,ថា ្នបំ ិទ ិត្,ថ្នា បំ ិទ ិត្,False,25,8
ヒヤリハット,គសទើបរនឹងម្ នគ្រោះថា ក្ន់,គសទើបរនឹង្មនគ្រោះថ្នា ក់,False,14,11
ファンベルト,ខស្ ែពនា កងា រ្ហ,ខ្សែពានកង្ហា រ,False,40,9
フック,ទំពក់,ទំពក់,True,19,9
ブラケット,ែកងʰទ,ែកង(cid:688)ទ,False,21,24
ブルドーザ,គតេ្រ ឿងចតក្រ រុញែី,គត្រេឿងចត្រករុញែី,False,37,2
ブレーキ,ត្រ វំង,ត្រ្វ ំង,False,39,25
ブレーキ液,លដប្ ងដ្ រាំង,លដ្បងដ្្រ ាំង,False,40,7
ブレード（排土板）,ដប៉ាលរុញ(ដប៉ាលរុញែ)ី,ដប៉ាលរុញ(ដប៉ាលរុញែ)ី,True,38,13
ブーム,ែងសនទចូ,ែងសនទ ចូ,False,38,11
ベース筋,េរសេងគ្ ឹះ,េរសេង្គឹះ,False,32,20
ホイルローダ,រ ឡូ ូ កិនែី,រ ឡូ ូ កិនែី,True,37,4
ボタン,មេវ,មេវ,True,15,9
ボーナス,បា្រ ក់រំណចា ់,ប្រាក់រំណាច់,False,4,2
ポケット,មោម ៉ៅ,មោម ៉ៅ,True,15,10
マスク,ម៉ៅ ស់,ម៉ៅ ស់,True,15,12
マニュアル,មសៀវមៅសណ្ នំ,មសៀវមៅស្ណនំ,False,16,24
ミーティング,ករា ្រជុំ,ការ្រជុំ,False,10,16
メッシュシート,កក្ ណតា ់សំណញា ់,ក្កណាត់សំណាញ់,False,22,3
モンキースパナ,ឧបករណ៏េɖះប៊ូឡ̭ ង,ឧបករណ៏េ(cid:598)ះប៊ូឡ(cid:813) ង,False,21,22
ランマ,ʤ៉សុីនបȯ˖ ប់ដី,(cid:676)៉សុីនប(cid:559)(cid:726)ប់ដី,False,19,4
ルール,ចាប់,ចាប់,True,2,8
ルールを守る,ពោរពចាប់,ពោរពចាប់,True,2,9
レバーブロック,បʶ ̮កʤនដង,ប(cid:694)(cid:814)ក(cid:676)នដង,False,20,20
レベル,កំពេ់,កំពេ់,True,30,21
ローディングショベル,គតេ្រ ឿងចតក្រ ចូកែី,គត្រេឿងចត្រកចូកែី,False,37,8
ローラ,រ ឡូ ូ កិន,រ ឡូ ូ កិន,True,37,9
一輪車,រេះកង់មួយ,រេះកង់មួយ,True,47,1
三連クランプ,ដងȠ៣ ̮ʟȼំ ប់ȡʅ,ដង(cid:544)៣(cid:814)(cid:671)(cid:572)ំ ប់(cid:545)(cid:645),False,19,1
上端筋,េរសេខរា ចុរខរា បលើ,េរសេខារចុរខារបលើ,False,33,23
上筋,សរសសដែកខងា ឡលើ,សរសសដែកខាងឡលើ,False,34,7
下げ振り,ឧបករណ៏វេា ់បញឈ្ ររតង់,ឧបករណ៏វាេ់បញ្ឈររតង់,False,29,14
下ろす,ដកា ់េុោះ,ដាក់េុោះ,False,43,20
下敷きになる,កិនសងារ្ ់,កិនសង្ារ់,False,14,5
下端筋,េរសេខរា បងក្ មា ្ខរា ចុរ,េរសេខារបង្កាម្ខារចុរ,False,33,22
下筋,សរសសដែកខងា ឡនក្ មា,សរសសដែកខាងឡន្កាម,False,34,3
不安定（な）,(ដដល)អមសេរភពា,(ដដល)អមសេរភាព,False,13,11
中,កនុង,កន ុង,False,45,21
中心,កណា ល្ត,កណ្តា ល,False,44,15
主筋,េរសេបម្,េរសេបម្,True,33,24
乾かす,សមងតួ,សមងតួ,True,43,16
予定,គមរមង,គមរមង,True,16,18
予防（する）,(ករា )បងា រ្ហ,(ការ)បង្ហា រ,False,13,7
事故,ឧរតិរហ្ត,ឧរតិរហ្ត,True,1,13
介しゃくロープ,ែខˍពួរជំនួយ,ែខ(cid:717)ពួរជំនួយ,False,20,14
仕上げる,ច្វើចោយច ើយ,ច្វើចោយច ើយ,True,43,3
代休,ថល្ ៃឈរ់សបម្រ កា ធលើកថល្ ៃ,ថ្លៃឈរ់សប្រមាកធលើកថ្លៃ,False,4,4
仮ボルト,បូ ុ ងបមណតះា ោសនន,បូ ុ ងបមណាត ះោសនន,False,23,11
休憩所,កផល្ លងសបា្ ក,កផ្លលងសប្ាក,False,18,16
休憩（する）,(ធ្វើករា ) សមា្រ ក,(ធ្វើការ) សម្រាក,False,6,3
休日,ថែ្ ៃឈប់សមា្រ ក,ថ្ែៃឈប់សម្រាក,False,6,7
会議,ករា រប ុំ,ការរប ុំ,False,16,21
伸ばす,ពនលតូ,ពនល តូ,False,43,12
位置,ទីតាំង,ទីតាំង,True,44,1
住民税,ពនធនិវសា នជន,ពនធនិវាសនជន,False,4,9
体調,សេ្នភពា សុខភពា ខលនួ,ស្នេ នភាពសុខភាពខល នួ,False,13,15
作動（する）,(ករា )ដំដ ើរករា,(ការ)ដំដ ើរការ,False,42,2
作業,ករា ងរ្ក,ការង្ករ,False,10,15
作業半径,កកំា ប្ តិបតិករា ងរា,កាក្ំ បតិបតតិការងារ,False,23,10
作業台,តុធ្ ្វើករា,ត្ុធ្វើការ,False,12,17
作業場,កផន្ ាងធ្វើករា,កផ្នាងធ្វើការ,False,12,16
作業手順書,ឯកោរនីតិវ្ិ ីករា ងរា,ឯកោរនីតិវ្ិ ីការងារ,False,16,25
作業服,សម្លៀកបំពកា ់ករា ងរា,សម្លៀកបំពាក់ការងារ,False,15,2
作業用手袋,សមន្ រស ករា ងរ្ក,សម្នរស ការង្ករ,False,27,21
作業着,សម្លៀកបំពកា ់ម្វើករា,សម្លៀកបំពាក់ម្វើការ,False,15,1
作業責任者,អែកទទួលខុសបត្ វ្ូ ករា ងរា,អែកទទួលខុសប្ត្វូ ការងារ,False,12,20
作業靴,សស្ ែកម ើងករា ងរា,ស្សែកម ើងការងារ,False,15,3
使用禁止,ហមា ធមប្រ ើមា្រ ស់,ហាមធម្របើម្រាស់,False,6,15
保護メガネ,សវ្ នតកា រា ពរា,ស្វនតាការពារ,False,15,11
保護具,ឧបករណ៏បងា រា មររោះថា ក្ន់,ឧបករណ៏បងាា រមររោះថ្នា ក់,False,15,7
保護帽着用,ពកា ់មួកករា ពរា (មួក បងា រ្កភបរ្ ៉ថះ នក្ន់),ពាក់មួកការពារ(មួក បង្កា រភប្រ៉ះថ្នន ក់),False,18,13
保護帽（ヘルメット）,្ួកករា ពរា (្ួកបងា រា មររោះថា ក្ន់),្ួកការពារ(្ួកបងាា រ មររោះថ្នា ក់),False,15,6
倒れる,ដួលរលំ,ដួលរលំ,True,14,8
値,តផម្ ល្,តផ្ម្ល,False,45,16
停止（する）,(ករា )ឈប់,(ការ)ឈប់,False,42,9
健康保険,ធនា រា ៉ារា ់រងស ែភពា,nan,False,4,12
入管,អណនា គប្ ណវសន៍,អណនា គ្បណវសន៍,False,3,8
冷却水,ទឹកដកា ់ឱយ្ ដរ្ ជកា ់ (ម ស ៊ីន),ទឹកដាក់ឱ្យដ្រជាក់ (ម ស ៊ីន),False,40,6
出す,បចចេញ,បចចេញ,True,43,15
出口,បរ្ កធរញ,ប្រកធរញ,False,12,12
分別（する）,(ប្វីករា )ដបងដចក្,(ប្វីការ)ដបងដចក្,False,8,12
切る,ករា ់ ឬ​ ពនែរ់,ការ់ ឬ ​ ពនែរ់,False,42,10
切断寸法,ទុំហុំ ដផាកកតា ់,ទុំហុំ ដផាកកាត់,False,35,15
前面,ននៃខងា ម៉ុខ,ននៃខាងម៉ុខ,False,30,19
剥離剤,ថា ្នសំ ំណក,ថ្នា សំ ំណក,False,26,16
割付,បបងបចក,បបងបចក,True,30,22
加工場,កដនលរដកសនែ,កដនលរដកសនែ,True,31,9
加工寸法,ទុំហុំ ដកសនា,ទុំហុំ ដកសនា,True,35,16
加工配筋図,បលរ់ោក់េសេដែកដកសនែ,បលរ់ោក់េសេដែកដកសនែ,True,32,12
労働基準法,ចារ់រទដា នា ករា ងរា,ចារ់រទដាា នការងារ,False,4,5
労働時間,ណ ៉ោ ងណ្ ្វើករា,ណ ៉ោ ង្ណ្វើការ,False,3,14
労働条件,ល័កខែ័ណឌករា ងរា,ល័កខែ័ណឌការងារ,False,4,6
労災,ធបគ្រ ុ្មះថនក្ន់ករា ងរា,ធប្រគ្មុះថ្នន ក់ការងារ,False,5,14
労災保険,ធនា រា ៉ារា ់រងធលើធបគ្រ ុ្មះ ថនក្ន់ករា ងរា,ធានារា៉ារ់រងធលើធប្រគ្មុះ ថ្នន ក់ការងារ,False,5,15
動かす,បតរូកថនែង្,បត រូកថនែង្,False,42,5
化粧合板,កា បា នទោះតុ្បផត្ ្ង,កាា បនទោះត្ុបផ្ត្ង,False,26,11
千鳥結束,ចុំណងចឡ្លោគះ ា ្ន,ចុំណងចឡ្ល ោះគ្នា,False,35,14
単管,បំពង់ឯក,បំពង់ឯក,True,22,8
危ない,រករ្ ោះថា ក្ន់,រក្រោះថ្នា ក់,False,1,8
危険,គ្រោះថា ក្ន់,គ្រោះថ្នា ក់,False,14,2
危険（な）,(ដែល)រករ្ ោះថា ក្ន់,(ដែល)រក្រោះថ្នា ក់,False,1,7
厚さ,កបា្ ស,កប្ាស,False,44,10
厚生年金,បា្រ ក់ធស្ា ននិវតាន៍ ររស់និធោជិក,ប្រាក់ធសា្ននិវតាន៍ ររស់និធោជិក,False,4,10
原因,មូល្ គេរ,ម្ូលគេរ,False,14,12
反対,ទទយុ,ទទយុ,True,45,22
取って,ស៊ូរយក,ស៊ូរយក,True,2,14
取り出す,យកចេញ,យកចេញ,True,43,1
受検（する）,(ធ្វើ)ករា បរ្ ឡង,(ធ្វើ)ការប្រឡង,False,12,3
台車,រទះរុញឥវ៉ាន់,រទះរុញឥវ៉ាន់,True,12,10
合図,សញា ្ញ,សញ្ញា,False,24,22
吊り上げ用クランプ,ដងȠ ̮ំសʰʤប់សɼ ̱ចេ,ដង(cid:544)(cid:814)ំស(cid:688)(cid:676)ប់ស(cid:636) (cid:817)ចេ,False,19,7
吐き気,េង់កអតួ,េង់កអ តួ,False,13,18
周り,ជុាំែញិ,ជុាំែញិ,True,45,23
喫煙所,កផល្ លងជក់បារី,កផ្លលងជក់បារី,False,18,18
嘔吐（する）,(ករា )កអតួ,(ការ)កអ តួ,False,13,19
回す,បងវិ្ល,បង្វិល,False,42,11
固定（する）,(ករា )េងភា ប្ជ់,(ការ)េងភ្ជា ប់,False,43,10
圧接継手,តុំណគប្ន,តុំណគ្នប,False,35,18
在留カード,ប័េណសា ក្ន់ណៅ,ប័េណ ស្នា ក់ណៅ,False,3,7
在留期間,រយៈណពលសា ក្ន់ណៅ,រយៈណពលស្នា ក់ណៅ,False,3,9
在留資格,អជា ា ប្ញ័េណសា ក្ន់ណៅ,អាជ្ញា ប័េណ ស្នា ក់ណៅ,False,3,5
地墨,សែមា េញា ក្ជំណត់រីតងំា,សាែ មេញ្ជា កំណត់រីតាងំ,False,29,15
地組,ករា ផ្ គំេូលដា ន្ឋ,ការផ្ គំេូលដ្ឋា ន,False,23,19
地震,ករា រញជ្យួ ែី,ការរញ្ជ យួ ែី,False,9,26
型枠支保工,េ ៉ុមេរមប់ចកា ់សបត៉ុង,េ ៉ុមេរមប់ចាក់សបត៉ុង,False,28,4
埋め込み金物,ឧបករណ៏ បែកបងោប់,ឧបករណ៏ បែកបងោប់,True,30,23
基礎,នគ្ ឹោះ,ន្គឹោះ,False,36,23
堕落注意,បប្ យ័តនធលក្ល់,ប្បយ័តនធ្លល ក់,False,17,8
報告書,មសចកតរី យា ករា ណ៏,មសចកតរាី យការណ៏,False,16,23
報告（する）,(ប្វើករា )ករា ោយករា ណ៍,(ប្វើការ)ការោយការណ៍,False,11,21
墜落（する）,(ករា )ធា ក្លច់ ោះ,(ការ)ធ្លា កច់ ោះ,False,14,15
墨さし,បិចសធវើព៊ីឬសែ៊ី,បិចសធវើព៊ីឬសែ៊ី,True,27,24
墨つぼ,ប្ទត់ ផ្ ខ្ ែ្,ប្ទ ត្់ ផ្ខ្ែ,False,27,25
外す,ចដោា ះ,ចដាោះ,False,43,13
大きさ,ទាំហាំ,ទាំហាំ,True,45,18
大バール,ផ ្ ករស់ធំ,ផ្ ករស់ធំ,False,25,10
天端,ខផ្ នកខង្ទមលើននសំណង់,ខ្ផនកខ្ទងមលើននសំណង់,False,24,20
天端釘,បែកសោលបនែកខងា សលើនៃ េំណង់,បែកសោលបនែកខាងសលើនៃ េំណង់,False,28,2
始業時間,ធា៉ោ ងចបា ់ធ្តើមករា ងរា,ធា៉ោ ងចាប់ធ្តើមការងារ,False,6,8
安全,ស វតថិភពា,ស វតថិភាព,False,1,6
安全カバー,គមរ្ បសុវតថិ្ភពា,គម្របសុវត្ថិភាព,False,2,1
安全ネット,សាំណញា ់សុវតេិភពា,សាំណាញ់សុវតេិភាព,False,13,23
安全ロック,លោស វរថិភេា,លោស វរថិភាេ,False,41,17
安全帯,ផខ្ ែ្ មក្ វ៉ាតា ់្សុវតថិ្ភពា,ផ្ខ្ែម្កវា៉ាត្់សុវត្ថិភាព,False,25,2
安全帯使用,ភបប្ ើផស្ ែបក្ វ៉ាត់សុវតថិភពា,ភប្បើផ្សែប្កវ៉ាត់សុវតថិភាព,False,18,14
安全支柱,សសរស វរថិភេា,សសរស វរថិភាេ,False,41,18
安全点検,បត្ ួតពិនិតយសុវតេិភពា,ប្តួតពិនិតយសុវតេិភាព,False,13,24
安全装置,ឧរករណ៍ស វតថិភពា,ឧរករណ៍ស វតថិភាព,False,1,15
安全通路,នលវូ សុវតថិភពា,នល វូ សុវតថិភាព,False,18,20
安全靴,សស្ ែកម ើងសុវតថភិ ពា,ស្សែកម ើងសុវតថភាិ ព,False,15,14
安定（する）,(ករា ាន)មស្ េរភពា,(ការាន)ម្សេរភាព,False,45,17
定時,ធេលធ ៀងទតា ់,ធេលធ ៀងទាត់,False,6,5
定格荷重,េងន់តេខនត្ទ,េងន់តេខ្ទន ត,False,24,23
実習（する）,(ប្វើករា )សិកា,(ប្វើការ)សិកា,False,11,18
寝不足,មគ្ងមិនបគ្ ប្ ់,មគ្ងមិនប្គ្ប់,False,13,22
寝坊（する）,(ប្វើករា )បគង្ ្ជលុ,(ប្វើការ)បគ្ង្ជលុ,False,11,26
寸法,ខា ត្ន,ខ្នា ត,False,44,2
対策,វធិ ន្លករា,វធ្លិ នការ,False,14,13
小バール,ផ ្ ករស់តូ្ច,ផ្ ករស់ត្ូច,False,25,9
尺,ខា ត្ន សគា ុ,ខ្នា ត សាគុ,False,45,24
工事現場,ករា ដា ន្ឋ សំណង់,ការដ្ឋា នសំណង់,False,12,18
工具の手入れ,សរៀបេំោតឧបករណ៏,សរៀបេំោតឧបករណ៏,True,29,13
工場,រោងចកក្,រោងចក្ក,False,1,3
差筋,េរសេដែកចប្លះេំណរ់,េរសេដែកចប្ល ះេំណរ់,False,32,16
差金,ផ ្ កបញចល្ូ,ផ្ កបញ្ច លូ,False,27,22
巻き込まれる,្តវូ ាៃពកា ់ព្ ័ៃធ,្តវូ ាៃពាក្់ព័ៃធ,False,8,16
帯筋（フープ）,េរសេដែកេប់េល់ករា ដបកបបតុរេេរ( វឺប ព)ុ,េរសេដែកេប់េល់ការ ដបកបបតុរេេរ( វឺប ព)ុ,False,33,21
帽子,្ួក,្ួក,True,15,5
幅木（仮設足場）,កតរា បងំ មជើង(កខន្ លង ដក្ឋ ់មជើងបមណតះា ោសនន),កាត របងំ មជើង(កខ្នលង ដ្ឋក់មជើងបមណាត ះោសនន),False,22,7
幅止め筋,េរសេដែកពងរ្ ឹរ,េរសេដែកពង្រឹរ,False,32,15
床,កបា្ ល,កប្ាល,False,12,11
建枠（ビティ）,គំរបឈន្ន់(ប ៊ី្ី),គំរបឈ្នន ន់(ប ៊ី្ី),False,22,2
建込み,សលើកយួរសហើ្យោក់,សលើកយួរសហ្ើយោក់,False,28,9
当たる,្រវូ នឹង្,្រវូ នឹង្,True,14,4
後片付け,ករា មរៀបេាំមពលមបក្ យា,ការមរៀបេាំមពលមប្កាយ,False,13,12
