Annotasyon,Halimbawa,Larawan,No.,Paano Magbasa,Page,Pagsasalin,Palatandaan,Talasalitaan
,,,10,けいほうせつび,17,Sistemang Pang-alarma,,警報設備
,"あつ かくにん
かぶり厚さを確認する",,10,かぶりあつさ,34,covering depth,,かぶり厚さ
,"かたわくかいたい だい し よ う
型枠解体に大バールを使用する",,10,だいばーる,25,malaking crowbar,,大バール
,,,10,こてい（する）,43,pirmi / ipirmi,,固定（する）
"Pinaikling “joint bar na angkla.”
Tinatawag din itong “sashikin.” (joint
bar)","てっきん あつ たも
鉄筋のかぶり厚さを保つためスペー
つか
サーを使う",,10,すぺーさー,31,angkla,,スペーサ―
,,,10,しさこしょう,14,pagturo at pagtawag,,指差呼称
,,,11,せいかつしどういん,6,"Tagapagturo ng
pamumuhay",,生活指導員
,,,11,ちゅうい,1,Babala/Paunawa,,注意
Taas ng bawat hakbang ng hagdan.,"き け あ すんぽう かたわく く み た
決められた蹴上げ寸法で型枠を組立
てる",,11,けあげ,29,riser,,蹴上げ
,,,11,よごれる,8,Marumihan,,汚れる
,,,11,くらっち,40,clutch,,クラッチ
,,,11,ふあんてい（な）,13,hindi matatag,,不安定（な）
,,,11,ぶーむ,38,boom,,ブーム
,,,11,ゆか,12,sahig,,床
,,,11,ひじょうべる,10,Emergency bell,,非常ベル
,,,11,かたさ,44,tigas,,硬さ
,"かべ てっきん あつ つか
壁の鉄筋かぶり厚さはドーナツを使う",,11,どーなつ,32,processing plant,,ドーナツ
,,,11,ひやりはっと,14,"muntikang aksidente
(Hiyari-hatto)",,ヒヤリハット
,ボルトをゆるめる,,11,ゆるめる,43,luwagin,,ゆるめる
,"ひょうめん う はな し あ けしょうごうばん
表面は打ち放し仕上げのため化粧合
し よ う
板を使用する",,11,けしょうごうはん,26,decorative plywood,,化粧合板
,"かっしゃ ざいりょう つ あ
滑車で材料を吊り上げる",,11,かっしゃ,20,kalo / pulley,,滑車
,"か く ど かくにん
角度を確認する",,11,かくど,35,anggulo,,角度
,,,11,しょうかき,18,Pang-apula ng Apoy,,消火器
,,,11,きゅうよめいさい,3,"Detalyadong paglalahad ng
suweldo/Payment slip",,給与明細
,,,11,まわす,42,paikutin,,回す
,"かり こうぞうたい かり こ て い
仮ボルトで構造体を仮に固定する",,11,かりぼると,23,pansamantalang kandado,,仮ボルト
"Insurance upang makatanggap ng mga
benepisyo sa kaso ng kawalan ng trabaho
o tuwing sa paghahanap ng trabaho",,,11,こようほけん,4,Employment insurance,,雇用保険
,,,11,きかいをとめる,2,I-off ang makina,,機械を止める
,,,12,やって,2,Gawin mo,,やって
,,,12,きゅうりょう,3,Suweldo,,給料
"Insurance na nagpapahintulot sa mga
miyembro at pamilya na makatanggap ng
mga benepisyo kapag nangangailangan ng
pangangalagang medikal",,,12,けんこうほけん,5,Health insurance,,健康保険
,"し て き ば し ょ て な お
指摘された場所を手直しする",,12,てなおし,23,pasasaayos,,手直し
,,,12,おす,42,pindutin,,押す
,"し ざ い つ あ
クレーンで資材を吊り上げる",,12,くれーん,20,crane,,クレーン
,"てっきん はいきん く み た
鉄筋はシングル配筋で組立てる",,12,しんぐる,35,single,,シングル
,,,12,のばす,43,pahabain / extend,,伸ばす
,,,12,"えーいーでぃーせっちば
しょ",18,May Nakahandang AED,,AED設置場所
,"か こ うはいきん ず どお く み た
加工配筋図通りに組立てる",,12,かこうはいきんず,32,spacer,,加工配筋図
,"はいめん そ じ し あ ふ つ うごうばん
背面は素地仕上げのため普通合板を
し よ う
使用する",,12,ふつうごうはん,26,normal plywood,,普通合板
,"き け こ すんぽう かたわく く み た
決められた蹴込み寸法で型枠を組立
てる",,12,けこみ,29,footboard,,蹴込み
,,,12,でぐち,12,labasan,,出口
,,,12,きゅうはっしん,40,biglaang pag-arangkada,,急発進
,,,12,あとかたづけ,13,pagliligpit pagkatapos,,後片付け
,,,12,げんいん,14,sanhi,,原因
,,,12,あーむ,38,arm,,アーム
,,,12,かさいほうちき,10,Fire alarm,,火災報知機
,,,12,ふかさ,44,lalim,,深さ
,,,12,ぶんべつ（する）,8,"Klasipikasyon
(Magbubukod)",,分別（する）
,,,12,かじ,1,Sunog,,火事
,,,12,たんとうしゃ,6,"Person in charge / Taong
namamahala",,担当者
,"い ど う しき し ざ い つ あ
移動式クレーンで資材を吊り上げる",,13,いどうしきくれーん,20,mobile crane,,移動式クレーン
,,,13,あつめる,42,kolektahin,,集める
,"かたわくない と つ
スタイロフォームを型枠内に取り付け
る",,13,すたいろふぉーむ,26,styrofoam,,スタイロフォーム
,"はいきんしょうさい ず どお くみ た
配筋詳細図通りに組立てる",,13,はいきんしょうさいず,32,rebar spacer (donut),,配筋詳細図
,,,13,ほごぼうちゃくよう,18,Magsuot ng Helmet,,保護帽着用
,"つらいち
面一にそろえる",,13,つらいち,23,flush,,面一
,"あんぜん はず
安全カバーを外す",,13,はずす,43,tanggalin,,外す
,,,13,とめて,2,I-off mo,,止めて
"Ito ang tawag kapag tinutukoy ang Health
insurance, Employees' pension insurance,
Nursing insurance, Employment insurance,
Worker's accident compensation
insurance. Minsan ito din ay tumutukoy
tungkol sa Health insurance at Employees'
pension insurance para sa mga empleyado.",,,13,しゃかいほけん,5,Labour insurance,,社会保険
,"はいきん
スラブはダブル配筋とする",,13,だぶる,35,doble,,ダブル
,,,13,もえないごみ,8,Basurang hindi sinusunog,,燃えないごみ
,,,13,ざんぎょうてあて,3,"Overtime work
pay",,残業手当
,,,13,じこ,1,Akisidente,,事故
,,,13,にげる,10,Tumakbo palayo,,逃げる
,,,13,ぶれーど（はいどばん）,38,blade,,ブレード（排土板）
,,,13,きゅうぶれーき,40,biglaang pagpreno,,急ブレーキ
,,,13,きゅうきゅうばこ,13,first-aid kit,,救急箱
,,,13,たいさく,14,hakbang upang labanan,,対策
,"こ う ぐ て い
工具の手入れをおこたらない",,13,こうぐのていれ,29,"paglilinis at pangangalaga
sa mga kagamitan / tool
care & maintenance",,工具の手入れ
,,,13,でんき,12,kuryente,,電気
,,,13,すいっちいれるな,6,Huwag i-on ang switch,,スイッチ入れるな
,,,13,ひょうめん,44,ibabaw (surface),,表面
,"てっきん ち ど り けっそく
鉄筋は千鳥結束する",,14,ちどりけっそく,35,zigzag na tali,,千鳥結束
,"し よ う こ う ぐ てんけんじ こ う もと し
使用する工具は点検事項に基づき始
ぎょうまえてんけん
業前点検をおこなう",,14,てんけんじこう,23,"mga bagay na dapat
inspeksyunin",,点検事項
"Ang maikling termino para sa ""aksidenteng
dulot ng trabaho""
Ito ay tungkol sa pinsala habang nasa
trabaho o nagkasakit dahil sa trabaho.",,,14,ろうさい,5,Worker’s accident,,労災
,,,14,すきま,44,siwang,,すきま
,"かたわく めん ぎ と つ
型枠に面木を取り付ける",,14,めんぎ,26,chamfer strip,,面木
,"まどかいこう ぶ かいこうほきょうきん ぐみ た
窓開口部は開口補強筋を組立てる",,14,かいこうほきょうきん,32,opening reinforcement,,開口補強筋
,"かい に も つ ふ
介しゃくロープで荷物の振れをおさえ
る",,14,かいしゃくろーぷ,20,guy rope,,介しゃくロープ
,,,14,あんぜんたいしよう,18,"Magsuot ng Sinturong
Pangkaligtasan",,安全帯使用
,,,14,ばんそうこう,13,panakip sa sugat,,絆創膏
,"さ ふ すいちょく かくにん
下げ振りで垂直を確認する",,14,さげふり,29,plumb,,下げ振り
,,,14,けいほうおん,12,babalang ingay,,警報音
,"あしば こ う ぐ らっか
足場から工具が落下した",,14,らっか（する）,14,pagkahulog / mahulog,,落下（する）
,,,14,たいや,38,gulong,,タイヤ
,,,14,ふくそう,1,Kasuotan,,服装
,"て い し
エンジンを停止するときはアイドリング
と
したあとに止める",,14,あいどりんぐ,41,idling,,アイドリング
,,,14,げんば,10,Lugar ng trabaho,,現場
,,,14,とって,2,Kunin mo,,取って
,,,14,もえるごみ,8,Basurang sinusunog,,燃えるごみ
,,,14,さわる,42,hawakan,,触る
,,,14,まげる,43,baluktutin,,曲げる
,,,14,すいっちきるな,6,Huwag i-off ang switch,,スイッチ切るな
,,,14,ろうどうじかん,3,Oras ng trabaho,,労働時間
,,,15,ちゅうしん,44,sentro,,中心
,"じ ずみ あ かたわく と つ
地墨に合わせて型枠を取り付ける",,15,じずみ,29,marka para sa partisyon,,地墨
,"はば ど きん と つ
幅止め筋を取り付ける",,15,はばどめきん,32,spreader bar,,幅止め筋
,,,15,しばる,42,bigkisin,,縛る
,"せきさいかじゅう こ
トラックの積載荷重を超えないように
つ こ
積み込む",,15,せきさいかじゅう,23,loading capacity,,積載荷重
,鉄筋を曲げる,,15,だす,43,ilabas,,出す
,"し かた
バイブレーターでコンクリートを締め固
める",,15,ばいぶれーたー,26,vibrator,,バイブレーター
,"せつだんすんぽう てっきん せつだん
切断寸法で鉄筋を切断する",,15,せつだんすんぽう,35,sukat ng putol,,切断寸法
,,,15,しょうこうかいだん,18,"Hagdanan na Pang-
Scaffolding",,昇降階段
,,,15,たいちょう,13,pisikal na kondisyon,,体調
,,,15,くろーら,38,crawler,,クローラ
,,,15,こんせんと,12,saksakan ng kuryente,,コンセント
,"あ し ばじょうそう のぼ しょうこうかいだん つか
足場上層に上るには昇降階段を使う",,15,しょうこうかいだん,20,"Hagdanan na Pang-
Scaffolding",,昇降階段
,"か い こ う ぶ ついらく
開口部から墜落した",,15,ついらく（する）,14,pagbagsak / bumagsak,,墜落（する）
,,,15,そうこう,41,pagtakbo,,走行
,,,15,さぎょう,10,Trabaho,,作業
,,,15,だめ（な）,2,Bawal (Ipinagbabawal ),,だめ（な）
,"きかい て はさ
機械に手が挟まれた",,15,はさまれる,8,Maiipit,,挟まれる
"Insurance na nagbibigay ng
pansamantalang suporta sa gastos sa
pagpapagamot, sa mga panahon ng kawalan
ng kakayahang magtrabaho at sa
pagkabalda dulot ng trabaho",,,15,ろうさいほけん,5,"Worker’s accident
compensation insurance",,労災保険
,,,15,しようきんし,6,Bawal gamitin,,使用禁止
,,,15,あんぜんそうち,1,"Safety
equipment/Kagamitan
pangkaligtasan",,安全装置
,,,16,きゅうけいじょ,18,Pahingahan,,休憩所
,"しゅうい あんぜん かくにん
周囲の安全を確認する",,16,かくにん（する）,14,pagtiyak / tiyakin,,確認（する）
,,,16,さぎょうば,12,lugar ng trabaho,,作業場
,"かたわく よ
コンクリートと型枠のはなれを良くする
は く りざい し よ う
ために剥離剤を使用する",,16,はくりざい,26,pangtanggal ng pintura,,剥離剤
,,,16,かわかす,43,patuyuin,,乾かす
,"か こ うすんぽうどお てっきん か こ う
加工寸法通りに鉄筋を加工する",,16,かこうすんぽう,35,sukat ng paggawa,,加工寸法
,"すじ と さ こ お ま
筋かい止めピンを差し込み折り曲げ
ておく",,16,すじかいとめぴん,20,strut end pin,,筋かい止めピン
,"くるま かぎ
車の鍵",,16,きー（かぎ）,38,key (susi),,キー（鍵）
,,,16,ち,13,dugo,,血
,"さしきん
コンクリートに差筋をする",,16,さしきん,32,joint bar,,差筋
,"す と わく せ っ ち
捨てコンクリートの止め枠を設置する",,16,すてこんくりーと,29,leveling concrete,,捨てコンクリート
,,,16,せんかい,41,rebolusyon,,旋回
,,,16,あたい,45,halaga (numero),,値
,"ぼうおん ま あ
防音シートはすき間が空かないように
と つ
取り付ける",,16,すきま,23,siwang,,すき間
,"てっきん なが そろ
鉄筋の長さを揃える",,16,そろえる,42,tipunin,,揃える
"Ang conference, pagpupulong sa
umaga at pagpupulong sa katapusan
ng araw ay maaring tawagin din na
miting.",,,16,みーてぃんぐ,10,Miting,,ミーティング
,"きかい て ま こ
1)機械に手が巻き込まれる
てぶくろ ばん ま こ
2)手袋がフライス盤に巻き込まれる",,16,まきこまれる,8,Makawit,,巻き込まれる
,"かたどお ね ぎ り で き とお
やり方通りで根切が出来ているか通
りをみる",,17,とおりをみる,23,tingnan ang pagkatuwid,,通りを見る
,,,17,ねっちゅうしょう,13,heatstroke,,熱中症
,,,17,けんしゅう（する）,10,Pagsasanay (Magsasanay),,研修（する）
,,,17,"さぎょうそうち
（あたっちめんと）",38,"aparato sa paggawa
(attachment)",,"作業装置
（アタッチメント）"
,,,17,さぎょうだい,12,lamesa ng trabaho,,作業台
,,,17,かぞえる,43,bilangin,,数える
,"てっきん ど う し かさ つ ぎ て
鉄筋同士は重ね継手とする",,17,かさねつぎて,35,lap joint,,重ね継手
,"いた と つ
けこみ板を取り付ける",,17,けこみいた,26,riser plate,,けこみ板
"Kalagayan kung saan malaki ang
pagkausli ng isang dako sa parteng
sinusuportahan ng gangplank ng
scaffolding. Kapag umakyat dito nang
hindi naaalam, may panganib na
mahulog, kung kaya’t
napakamapanganib nito.","かべ だ かたわく く み た
壁からはね出してスラブ型枠を組立て
る",,17,はねだし,29,nakakausli,,はね出し
,,,17,あんてい（する）,45,katatagan / itatag,,安定（する）
,,,17,やけど（する）,8,Paso (Mapaso),,やけど（する）
,"はしらしゅきん ぐみ た
柱主筋を組立てる",,17,はしらしゅきん,32,column bar,,柱主筋
,"ざいりょう むす
材料をまとめてひもで結ぶ",,17,むすぶ,42,itali,,結ぶ
,,,17,あんぜんろっく,41,safety lock,,安全ロック
,,,17,さいだいせきさいかじゅう,18,"Maximum na kapasidad sa
pag-load",,最大積載荷重
,"きゃくちゅう さ い ご さ こ
脚柱ジョイントは最後まで差し込む",,17,きゃくちゅうじょいんと,20,stud joint,,脚柱ジョイント
,"き
エンジンをかける、エンジンを切る",,18,えんじん,38,engine,,エンジン
,,,18,こうじげんば,12,lugar ng konstruksyon,,工事現場
,"はしらはいきん ず めん かくにん
柱配筋を図面で確認する",,18,はしらはいきん,32,column bar arrangement,,柱配筋
,"かたわく め じ ぼう と つ
型枠に目地棒を取り付ける",,18,めじぼう,26,joint strip,,目地棒
,,,18,おおきさ,45,laki (size),,大きさ
,"だ せ つちゅう かたわく
コンクリート打設中に型枠のはらみを
かくにん
確認する",,18,はらみ,29,umbok,,はらみ
,,,18,きつえんじょ,18,"Lugar para sa
Paninigarilyo",,喫煙所
,"れんけつ さ い ご さ こ
連結ピンは最後まで差し込む",,18,れんけつぴん,20,connecting pin,,連結ピン
,"あ し ば く み た
足場を組立てる",,18,くみたて,23,pagbubuo,,組立
,"てっきん ど う し あっせつつ ぎ て
鉄筋同士は圧接継手とする",,18,あっせつつぎて,35,stud joint,,圧接継手
,,,18,はこぶ,43,dalhin,,運ぶ
,,,18,あんぜんしちゅう,41,safety post,,安全支柱
,"かいだん お
階段から落ちる",,18,おちる,8,Mahulog,,落ちる
,,,18,しゃがむ,42,yumukyok / squat,,しゃがむ
,,,18,はきけ,13,alibadbad,,吐き気
,,,18,じっしゅう（する）,10,Training (Pagtratrain),,実習（する）
,"あしばくみたて しょくちょう し じ したが
足場組立は 職長の指示に従う",,19,しょくちょう,12,foreman,,職長
,,,19,おうと（する）,13,pagsusuka / magsusuka,,嘔吐（する）
,"きん しょてい く み た
スラブ筋を所定のピッチで組立てる",,19,すらぶきん,32,slab reinforcement,,スラブ筋
,"かたわく なが こ
型枠にコンクリートを流し込む",,19,こんくりーと,26,kongkreto,,コンクリート
,,,19,かず,45,bilang,,数
,"まえつら そろ
前面を揃える",,19,まえつら,29,front face,,前面
,,,19,せいりせいとん,18,Panatilihing Maayos,,整理整頓
,"か な ぐ かくじつ さ い ご
ジョイント金具は確実に最後まではめ
る",,19,じょいんとかなぐ,20,joint metal fitting,,ジョイント金具
,"した じ ぐみ あ し ば あ
下で地組した足場をクレーンで上げ
うえ と つ
て上で取り付ける",,19,じぐみ,23,"pagbubuo sa lugar ng
konstruksyon",,地組
,"かい こ う ぶ かいこうほきょうきん と つ
開口部には開口補強筋を取り付ける",,19,かいこうぶ,35,butas,,開口部
,,,19,あいさつ,11,Pagbati,,あいさつ
,,,19,でぃーぜるえんじん,38,diesel engine,,ディーゼルエンジン
,"ねんりょう ほきゅう
エンジンをかけたまま燃料を補給して
はいけない",,19,ほきゅう（する）,41,"pagpapa-gasolina /
magpa-gasolina",,補給（する）
,"ざいりょう つ
材料をくずれないように積む",,19,つむ,43,itambak,,積む
,"ゆか
床がすべる",,19,すべる,8,Madulas,,すべる
,,,19,ちょうせい（する）,42,pag-adjust / i-adjust,,調整（する）
,,,20,ごさ,45,pagkakamali (error),,誤差
,,,20,えんじんおいる,38,engine oil,,エンジンオイル
,,,20,ちゅうしゃ（する）,41,pagparada / iparada,,駐車（する）
,"ど ま はいきん ようせつかなあみ し よ う
土間配筋は溶接金網を使用する",,20,ようせつかなあみ,35,"nakawelding na alambreng
lambat",,溶接金網
,"きん く み た
ベース筋を組立てる",,20,べーすきん,32,base reinforcement,,ベース筋
Tinatawag din itong “uwaba” (itaas).,"て ん ば へいかつ
コンクリートの天端をコテで平滑にな
らす",,20,てんば,24,levee crown,,天端
,"すんぽう はか
コンベックスで寸法を測る",,20,こんべっくす,26,medida,,コンベックス
,"だ せ つ ご ようじょう
コンクリート打設後に養生をおこなう",,20,ようじょう,30,curing,,養生
,,,20,あんぜんつうろ,18,"Ligtas na Daanan /
Safety Passage",,安全通路
,"し ざ い こ て い
レバーブロックで資材を固定する",,20,ればーぶろっく,21,lever block,,レバーブロック
,,,20,あしがつる,13,namumulikat ang paa,,足がつる
,,,20,さぎょうせきにんしゃ,12,tagapangasiwa ng trabaho,,作業責任者
,"こうじょう ころ
工場ですべって転んだ",,20,ころぶ,9,Madapa,,転ぶ
,,,20,とじる,42,pagsara / isara,,閉じる
,"に だ い に も つ お
トラックの荷台から荷物を下ろす",,20,おろす,43,ibaba,,下ろす
,,,20,かくにん（する）,11,"Check / Kumpirmasyon
(I-checheck / Susuriin)",,確認（する）
,,,21,きぶんがわるい,13,hindi maganda ang pakiramdam,,気分が悪い
,"かたわく せつだん まる し よ う
型枠の切断は丸のこを使用する",,21,でんどうのこ（まるのこ）,21,"electric circular saw
(circular saw)",,電動のこ（丸のこ）
,"ざいりょう つ あ さい あんぜん い ち
材料を吊り上げる際は安全な位置に
たまかけ
玉掛けをおこなう",,21,たまかけ・たまがけ,24,slinging,,玉掛け
,"さぎょうようてぶくろ もち かたわくさぎょう
作業用手袋を用いて型枠作業をおこ
なう",,21,さぎょうようてぶくろ,27,guwantes na pantrabaho,,作業用手袋
,"のこ てっきん げ ん ば はんしゅつ
残った鉄筋を現場から搬出する",,21,はんしゅつ,36,paglabas,,搬出
,"おびきん く み た
帯筋を組立てる",,21,おびきん（ふーぷ）,33,hoop,,帯筋（フープ）
,,,21,"おるたねーた
（じゅうでんはつでんき）",39,"alternator (charging
generator)",,"オルタネータ
（充電発電機）"
,,,21,なか,45,gitna,,中
,"そくりょう
レベルを測量する",,21,れべる,30,level,,レベル
,,,21,ほうこく（する）,11,"Report / Ulat(Mag-report /
Ipagbigay-alam)",,報告（する）
,,,21,はなれる,43,lumayo,,離れる
,,,21,ぬれる,9,Mabasa,,濡れる
taong naglalakad,,,21,ほこうしゃ,41,pedestrian,,歩行者
,"かたわく わ つ
型枠を割り付ける",,22,わりつけ,30,layout,,割付
,,,22,ばってり,39,battery,,バッテリ
,,,22,はんたい,45,kasalungat,,反対
,,,22,ねぶそく,13,kulang sa tulog,,寝不足
"Tinatawag din itong “monkey
wrench.”","し ゆる
モンキースパナでナットを締める・緩
める",,22,もんきーすぱな,21,monkey spanner,,モンキースパナ
,"じゅうきさぎょう あ い ず あんぜん おこな
重機作業は合図をもって安全に行う",,22,あいず,24,hudyat,,合図
,,,22,しゃりょう,41,sasakyan,,車両
,"さしがね すんぽう はか
差金で寸法を測る",,22,さしがね,27,carpenter’s square,,差金
,"てっきん げ ん ば はんにゅう
鉄筋を現場に搬入する",,22,はんにゅう,36,pagdala sa loob,,搬入
,"し た ばきん く み た
下端筋を組立てる",,22,したばきん,33,bottom reinforcement,,下端筋
,,,22,れんらく（する）,11,Kontak (Makipag-ugnayan),,連絡（する）
,,,22,えいせい,9,"Kaligtasan / Pangangalaga
sa kalusugan",,衛生
,,,23,まわり,45,paligid,,周り
"Ito ang pundasyon ng tinatayong
gusali","き そ はいきん
基礎の配筋をおこなう",,23,きそ,36,pundasyon,,基礎
,,,23,ねんりょう,39,fuel,,燃料
Tinutukoy ang lugar na hindi nakikita,,,23,しかく,41,blind spot,,死角
,"ていかくかじゅう こ つ さぎょう
定格荷重を超えて吊りもの作業はお
こなわない",,23,ていかくかじゅう,24,rated capacity,,定格荷重
,"すいへい き かたむ ちょうせい すいへい
水平器で傾きを調整し水平にする",,23,すいへいき,27,level gauge,,水平器
,"かたわく う こ かなもの
型枠にはあらかじめ埋め込み金物を
と つ
取り付ける",,23,うめこみかなもの,30,nakabaong metal,,埋め込み金物
,"う わ ばきん く み た
上端筋を組立てる",,23,うわばきん,33,top reinforcement,,上端筋
,,,23,あんぜんねっと,13,safety net,,安全ネット
,"おやづな は い ち おやづなしちゅう と つ
親綱を張る位置に親綱支柱を取り付
ける",,23,おやづなしちゅう,21,"poste ng pangunahing
lubid",,親綱支柱
,,,23,ひなん（する）,9,Paglisan (Lumikas),,避難（する）
,,,23,そうだん（する）,11,Konsulta (Magkonsulta),,相談（する）
,,,24,けいゆ,39,gas oil,,軽油
1 shaku ≒30.3 cm,,,24,しゃく,45,shaku (unit ng pagsukat),,尺
,"しゅきん く み た
主筋を組立てる",,24,しゅきん,33,main reinforcement,,主筋
,"すみ すみ
墨さしを墨つぼにつける",,24,すみさし,27,"brush na pangmarka na
yari sa kawayan",,墨さし
"Tinatawag din itong “mochi-okuri”
(console).","あ し ば と つ
足場にブラケットを取り付ける",,24,ぶらけっと,21,bracket,,ブラケット
,,,24,あんぜんてんけん,13,inspeksyon para sa kaligtasan,,安全点検
,"かたわく かいたい
型枠を解体する（バラス）",,24,かいたいする（ばらす）,30,"pagkalas (disassemble) /
ikalas",,解体する（バラス）
,"あ しばしち ゅ う み すいちょくせい
足場支柱のたちを見る（垂直性＝た
ち）",,24,たち,24,vertical,,たち
"Ginamit ito kapag nagbibigay ng isang
bagay sa isang tao.",,,24,わたす,11,Iaabot,,渡す
,,,24,きゅうきゅうしゃ,9,Ambulansya,,救急車
,"やま の しゃめん のぼ
山の斜面を上る",,24,しゃめん,41,dalisdis / slope,,斜面
,"てっきん ど う し き か い し き つ ぎ て
鉄筋同士は機械式継手とする",,24,きかいしきつぎて,36,mechanical joint,,機械式継手
,"すみ すみ
墨さしを墨つぼにつける",,25,すみつぼ,27,"kagamitang pangmarka ng
mahaba at tuwid na guhit",,墨つぼ
,"てっきん かたわく すんぽう かくにん
鉄筋と型枠のかぶり寸法を確認する",,25,かぶりすんぽう,30,covering dimension,,かぶり寸法
,,,25,はしご,21,hagdan,,梯子
,"きん く み た
あばら筋を組立てる",,25,あばらきん,33,stirrup reinforcement,,あばら筋
,"てんあつさぎょう
ローラで転圧作業をする",,25,てんあつ（する）,41,"surface compaction /
isagawa ang surface
compaction",,転圧（する）
,"せっけいかんりしゃ はいきんけ ん さ ごうかく
設計監理者による配筋検査に合格す
る",,25,はいきんけんさ,36,"inspeksyon ng bar
arrangement",,配筋検査
,"ふ
ブレーキを踏む",,25,ぶれーき,39,preno,,ブレーキ
,,,25,あお,45,asul,,青
,,,25,さいがい,9,Sakuna,,災害
,,,25,しんせいしょ,11,Pormat ng aplikasyon,,申請書
,"あ し ばくみたて しょくちょう し じ したが
足場組立は職長の指示に従う",,25,しょくちょう,24,foreman,,職長
,,,26,あか,45,pula,,赤
,"じ しん お
地震が起きる",,26,じしん,9,Lindol,,地震
,,,26,ねぼう（する）,11,"Nagising ng tanghali
(Magigising ng tanghali)",,寝坊（する）
,"じ しん つくえ した
地震だ！机の下にもぐれ！",,27,もぐる,9,Sisisid / Punta sa ilalim,,もぐる
,,,27,しろ,45,puti,,白
,,,28,きいろ,45,dilaw,,黄色
