Example,How to read (Hiragana),No.,Note,Page,Picture,Sign,Translation,Word/Phrase
,ぎのうじっしゅう,1,,1,,,Technical intern training,技能実習
"かぞく やしな ひと ふようこうじょ
家族を養っている人は、「扶養控除」
う ばあい
を受けられる場合がある",こうじょ（する）,1,"To deduct certain amount from the original
amount mainly as tax payments.",4,,,Deduction (to deduct),控除（する）
,かんりだんたい,1,"Non-profit organizations that
manage and supervise skill
acquisitions and other activities of
technical intern trainees.",3,,,Supervising organization,監理団体
,いち,1,,44,,,Position,位置
,かきげんきん,1,,10,,,No fire,火気厳禁
,あんぜんかばー,1,,2,,,"Safety cover; protection
cover",安全カバー
,とりだす,1,,43,,,Take out,取り出す
,ごえす,1,"Seiri (sorting), Seiton (set in order),
Seiso (shine), Seiketsu (standardize),
and Shitsuke (sustain). Each of these
five words starts with S. 5S is used to
improve the work environment and
maintain the improved work
environment.",7,,,5S,5S
,きんし,1,,13,,,Prohibition,禁止
"い け いぼうこう もち
異形棒鋼を用いる",いけいぼうこう,1,Commonly used rebar in Japan,31,,,Deformed steel bar,異形棒鋼
,ゆあつしりんだ,1,,40,,,Hydraulic cylinder,油圧シリンダ
,"けーわいかつどう（きけん
よちかつどう）",1,,14,,,"KY Activities (Hazard
prediction activities)",KY活動（危険予知活動）
,ぎのう,1,,12,,,Skills,技能
"まる かたわく こ て い
丸セパレーターで型枠を固定する","まるせぱれーたー
（まるせぱ）",1,,28,,,"Round separator
(Marusepa)","丸セパレーター
（丸セパ）"
"さんれん たんかん けつごう
三連クランプで単管を結合する",さんれんくらんぷ,1,,19,,,Triple clamp,三連クランプ
,たちいりきんし,1,,17,,,DO NOT ENTER,立入禁止
"じゅうき せっしょく
重機に接触してけがをする",せっしょく（する）,1,,42,,,Contact (Contact),接触（する）
"あんぜん しよう じこ ふせ
安全カバーの使用で事故を防ぐ",あんぜんかばー,1,"A cover attached to an electric
circular saw. It prevents the circular
saw from flying into your body due to
kickback during cutting.",25,,,Safety cover(cid:9),安全カバー
"おやづな あんぜんたい
親綱に安全帯をかける",おやづな,1,"It is a rope used to hook a safety belt
(a belt with a safety rope) at a
construction site. It is stretched
tightly between posts without
slacking to protect workers' lives at
the site.",22,,,Main rope,親綱
,とらくた,1,"A tractor with work equipment
(attachment) is called a bulldozer,
tractor shovel, and others.",37,,,Tractor,トラクタ
"きん く み た
はかま筋を組立てる",はかまきん,1,,34,,,Footing top bar,はかま筋
,ちこく（する）,1,,6,,,Late arrival (be late),遅刻（する）
,きけん,2,,14,,,Hazard,危険
,ぎじゅついてん,2,,3,,,Technology transfer,技術移転
,ぎのうけんていしけん,2,,12,,,Skill proficiency test,技能検定試験
"けっそくせん てっきん しば
結束線で鉄筋を縛る",けっそくせん,2,,31,,,Binding wire,結束線
,ゆあつもーた,2,,40,,,Hydraulic motor,油圧モータ
,ぎのうじっしゅうせい,2,,1,,,Technical intern trainee,技能実習生
,ぼーなす,2,,4,,,Bonus,ボーナス
,せいり,2,"To identify what are necessary and
unnecessary and share the results to
improve quality and productivity.",7,,,Seiri (Sorting),整理
,かいほうげんきん,2,,10,,,Keep closed.,開放厳禁
,けが,2,,2,,,Injury,けが
,きんえん,2,,17,,,NO SMOKING,禁煙
"たてきん く み た
縦筋を組立てる",たてきん,2,,34,,,Vertical reinforcement(cid:9),縦筋
,ぶるどーざ,2,"A machine made of a tractor
equipped with a blade",37,,,Bulldozer,ブルドーザ
"てん てん ば くぎ う
コンクリート天に天端釘を打つ",てんばくぎ,2,,28,,,Leveling pin,天端釘
"つか こ う ぐ もと ば し ょ もど
使った工具は元の場所に戻す",もどす,2,,43,,,Put back,戻す
"つち こうんぱん
ベルトコンベアで土を小運搬する","べるとこんべあ
（べるこん）",2,,19,,,Conveyor belt,"ベルトコンベア
（ベルコン）"
"たてわく もち あ し ば く み た
建枠（ビティ）を用いて足場を組立て
る",たてわく（びてぃ）,2,,22,,,"Standard scaffold frame
(Beatty frame)",建枠（ビティ）
,ひょうじばん,2,,13,,,Display board,表示板
,すんぽう,2,,44,,,Dimensions,寸法
,そうたい（する）,2,,6,,,"Leaving early (to leave
early)",早退（する）
"あんぜんたい あ し ば と つ
安全帯を足場に取り付ける",あんぜんたい,2,,25,,,Safety belt,安全帯
"か さ い ほ う ち き さ ど う
火災報知器が作動する",さどう（する）,2,,42,,,Activation (Activate),作動（する）
"あ し ばわく と つ
足場枠にメッシュシートを取り付ける",めっしゅしーと,3,"It is also called a ""curing sheet"" or
""scattering prevention net.""",22,,,Mesh sheet(cid:9),メッシュシート
,ぎのうじっしゅうきかん,3,,3,,,"Technical intern training
period",技能実習期間
"くい う こ
かけやで杭を打ち込む",かけや,3,"It is a large wooden mallet and is
also known as ""Narimono"" and ""O-
nari."" The one held with both
hands is called ""Kakeya,"" and the
one held with one hand is called
""Kizuchi"" or ""Konekiri"".",19,,,Wooden mallet,かけや
,とらくたしょべる,3,"A machine made of a tractor
equipped with a bucket. There are
crawler type and wheel type.",37,,,Tractor shovel,トラクタショベル
,きんしじこう,3,,13,,,Prohibited items,禁止事項
,じゅけん（する）,3,,12,,,Exam (Take an Exam),受検（する）
"ひょうめん
コンパネの表面をけれんする",けれん,3,,28,,,Surface preparation,ケレン
"けっそく こ う ぐ もち てっきん しば
結束工具を用いて鉄筋を縛る",けっそくこうぐ,3,"Also called ""hooker""",31,,,Tying tool,結束工具
"トラクタショベルのバケットにぶつかっ
てけがをした",ぶつかる,3,,14,,,Bump into,ぶつかる
,しあげる,3,,43,,,Finish,仕上げる
"しゃりょう せ い び
車両の整備をする",せいび（する）,3,,42,,,Maintenance (Maintain),整備（する）
"せ っ ち
インサートをコンクリートに設置するた
かたわく う こ
め、型枠に打ち込む",いんさーと,3,,25,,,Threaded insert,インサート
,きゅうけい（する）,3,,6,,,Break (to take a break),休憩（する）
,せいとん,3,"To determine where and how to store
necessary tools and materials and
indicate them properly to reduce
unreasonable or wasteful motions.",7,,,Seiton (Set in order),整頓
"らいしゅうゆうきゅう しんせいしょ だ
来週、有休をとるので申請書を出した",ゆうきゅう,3,"ゆうきゅうきゅうか
""有給休暇."" Paid days off.
ゆうきゅう ゆうきゅう きゅうか
""有休"" is the abbreviation for ""有給休暇.""",4,,,Paid holiday,有休
,ひょうしき,3,,10,,,Sign,標識
,そくてい（する）,3,,44,,,Measurement (Measure),測定（する）
,ゆあつぽんぷ,3,,40,,,Hydraulic pump,油圧ポンプ
,けがをする,3,,2,,,To get injured,けがをする
,こうじょう,3,,1,,,Factory; plant,工場
"したきん く み た
下筋を組立てる",したきん,3,,34,,,Bottom reinforcement,下筋
,かきげんきん,3,,17,,,NO OPEN FLAMES,火気厳禁
"よこきん く み た
横筋を組立てる",よこきん,4,,34,,,Horizontal reinforcement,横筋
"じばん し かた
ランマで地盤を締め固める",らんま,4,It is a tamping rammer.,19,,,Rammer,ランマ
,ちゅうしゃきんし,4,,17,,,NO PARKING,駐車禁止
,しかく,4,,12,,,Qualifications,資格
,せいそう,4,"To clean the workplace to make the
right workplace condition easily
identifiable.",7,,,Seisou (Shine),清掃
,けいそく（する）,4,,44,,,Measurement (Measure),計測（する）
,でんげん,4,,2,,,Power supply,電源
,みずもれ,4,,40,,,Water leakage,水漏れ
,だいきゅう,4,"Days off provided to compensate for
working on non-working days.",4,,,Compensatory day off,代休
"あ し ば お こ う ぐ からだ あ
足場から落ちてきた工具が体に当たっ
てけがをした",あたる,4,,14,,,Hit,当たる
"てっきんせ つだ んき てっきん せつだん
鉄筋切断機で鉄筋を切断する",てっきんせつだんき,4,,31,,,Rebar cutter,鉄筋切断機
"か た わ く し ほ こ う こ う じ おこな
型枠支保工の工事を行う",かたわくしほこう,4,,28,,,Form timbering,型枠支保工
,ほいるろーだ,4,"Wheel type tractor shovel (four-wheel
drive)",37,,,Wheel loader,ホイルローダ
,ひなんくんれん,4,,13,,,Evacuation drill,避難訓練
,きをつける,4,,10,,,To pay attention,気をつける
,せいぞう,4,,1,,,Manufacturing,製造
"くぎ お
釘が折れる",おれる,4,,43,,,Break,折れる
"そうおんたいさく ぼうおん せ っ ち
騒音対策として防音パネルを設置す
る",ぼうおんぱねる,4,,22,,,Soundproof panel,防音パネル
,ざんぎょう（する）,4,,6,,,"Overtime work (to work
overtime)",残業（する）
"さぎょうまえ こ う ぐ てんけん
作業前に工具を点検する",てんけん（する）,4,,42,,,Inspection (Inspect),点検（する）
"かたわく と つ
型枠にスペーサを取り付ける",すぺーさ,4,,25,,,Spacer(cid:9),スペーサ
,しょくしゅ,4,,3,,,Job type,職種
"てっきん かたわく す き ま ちょうせい
鉄筋と型枠の隙間を調整する",てっきん,5,,25,,,Rebar(cid:9),鉄筋
"き か い うご
機械を動かす",うごかす,5,,42,,,Operate,動かす
"あさがおざい ひ ら い ら っ か ぼ う し
朝顔材は飛来落下防止のためにつか
う",あさがおざい,5,,22,,,Protective shelf,朝顔材
"まる は か
丸のこの刃が欠ける",かける,5,,43,,,Chip,欠ける
"じゅうき し た じ
重機の下敷きになる",したじきになる,5,,14,,,Become trapped under,下敷きになる
,あしもとちゅうい,5,,17,,,WATCH YOUR STEP,足もと注意
"じざい もち たんかん きんけつ
自在クランプを用いて単管を緊結す
る",じざいくらんぷ,5,"It is used to connect single pipes
for diagonal reinforcement.
In scaffolding, diagonal
reinforcement is called ""cross
bracing (Sujikai).""",19,,,Swivel clamp,自在クランプ
"はらきん く み た
腹筋を組立てる",はらきん,5,,34,,,Web bar,腹筋
,ざいりゅうしかく,5,,3,,,Status of residence,在留資格
"き ょ う ていじ かえ
今日は定時に帰る",ていじ,5,"Stipulated hours. In working places,
mainly indicate the regular times to
come to and leave the working place.",6,,,Regular hours,定時
"こうじょう けいたいでんわ も こ
工場に携帯電話を持ち込んではいけ
ない",もちこむ,5,,10,,,To bring in,持ち込む
,けいそくき,5,,44,,,Measuring instrument,計測器
,あぶらもれ,5,,40,,,Oil leak,油漏れ
"てっきん ま か こ う き てっきん ま
鉄筋曲げ加工機で鉄筋を曲げる",てっきんまげかこうき,5,,31,,,Rebar bending machine(cid:9),鉄筋曲げ加工機
,きかい,5,,1,,,Machine; machinery,機械
"き そ かたわく く み た
基礎型枠を組立てる","きそかたわく
（めたるふぉーむ）",5,,28,,,"Foundation formwork
(Metal form)(cid:9)","基礎型枠
（メタルフォーム）"
,だんぷとらっく,5,,37,,,Dump truck,ダンプトラック
,かんでん（する）,5,,13,,,"Electric shock (Get an
electric shock)",感電（する）
,てあて,5,,12,,,Allowance,手当
,でんげんをきる,5,,2,,,To turn off power,電源を切る
,せいけつ,5,"To thoroughly implement Seiri,
Seiton, and Seisou to keep the clean
and normal condition.",7,,,Seiketsu (standardize),清潔
,ろうどうきじゅんほう,5,Act of Japan stipulating labor standards.,4,,,Labor Standards Act,労働基準法
"もち たんかん てっこつ
キャッチクランプを用いて単管と鉄骨
きんけつ
を緊結する",きゃっちくらんぷ,6,,19,,,Catch clamp,キャッチクランプ
"さぎょうちゅう じゅうき ちか
作業中の重機に近づかない",ちかづく,6,,43,,,Get close,近づく
,ひじょうていしぼたん,6,,2,,,Emergency stop button,非常停止ボタン
,れいきゃくすい,6,,40,,,Cooling water,冷却水
,ぼうし（する）,6,,13,,,Prevention (Prevent),防止（する）
,あんぜん,6,,1,,,Safety,安全
,ろうどうじょうけん,6,,4,,,Working conditions,労働条件
"てっきんた ん ぶ
鉄筋端部にフックをつける",ふっく,6,,31,,,Hook,フック
,ぱすぽーと,6,,3,,,Passport,パスポート
"あんぜんかくにん じ こ ふせ
安全確認して事故を防ぐ",ふせぐ,6,,10,,,To prevent,防ぐ
"かたわく くぎ し ま
型枠をばらして釘仕舞いをする",くぎしまい,6,,28,,,Clearing away,釘仕舞い
,しゃいん,6,,12,,,Employee,社員
,ゆあつしょべる,6,"A machine equipped with a shovel
that can perform various tasks by
replacing work equipment
(attachment)",37,,,Hydraulic excavator,油圧ショベル
,きそく,6,,6,,,Regulation; rule,規則
"か く うせん せっしょく
架空線へ接触させないようにする",かくうせん,6,"There is a high possibility of an
electric shock accident if you touch an
overhead power line because of the
high voltage electricity.",22,,,Overhead power line,架空線
"でんこう さ こ
電工ドラムのコンセントに差し込む",でんこうどらむ（どらむ）,6,,25,,,"Retractable extension
cord reel (Drum)",電工ドラム（ドラム）
,おんど,6,,44,,,Temperature(cid:9),温度
,しつけ,6,"To create an atmosphere in which
workers discipline themselves to
follow the rules and cooperate each
other.",7,,,Shitsuke (Sustain),しつけ
"けんせつき か い うんてん
建設機械を運転する",うんてん（する）,6,,42,,,Operation (Operate),運転（する）
"あやま て う
誤ってハンマーで手を打ってしまった",うつ,6,,14,,,Strike,打つ
,かいこうぶちゅうい,6,,17,,,"DANGER
OPEN HOLE",開口部注意
"はいりょくきん く み た
配力筋を組立てる",はいりょくきん,6,,34,,,Distribution bar,配力筋
,ばっくほう,7,"The most common type of hydraulic
shovel and used for belowground
excavation",37,,,Backhoe,バックホウ
"でんどうまる せつだん
電動丸のこでコンパネを切断する","でんどうまるのこ（でんの
こ）",7,,25,,,"Electric circular saw
(Electric saw)(cid:9)",電動丸のこ（電のこ）
"ろうどうしゃ ついてんらく き ぐ ら っ か ぼ う し
労働者の墜転落・器具の落下防止の
あ し ば は ば き もう
ために足場に幅木を設ける",はばき（かせつあしば）,7,,22,,,"Baseboard (Temporary
scaffolding)",幅木（仮設足場）
,ぶれーきえき,7,,40,,,Brake fluid(cid:9),ブレーキ液
"てっきん なが はか
鉄筋の長さを測る",はかる,7,,42,,,Measure,測る
,ぶちょう,7,,12,,,Department manager,部長
,ひ,7,,10,,,Fire,火
,たかさ,7,,44,,,Height,高さ
,よぼう（する）,7,,13,,,"Precaution (Take
precautions)",予防（する）
,ぜいきん,7,,4,,,Tax,税金
,きけん（な）,7,"Normally written in Kanji Chinese
characters but may be written in
Katakana ""キケン"" in some factories.",1,,,Danger (dangerous),危険（な）
"ほ ご ぼう さぎょう と か
保護帽をかぶり作業に取り掛かる",ほごぼう（へるめっと）,7,,31,,,Safety helmet (Helmet),保護帽（ヘルメット）
,"ひじょうていしぼたんを
おす",7,,2,,,"To push an emergency
stop button",非常停止ボタンを押す
,そうじ（する）,7,,7,,,Cleaning (to clean),掃除（する）
"てん ば
スラブ天端をそろえる",すらぶてんば,7,,28,,,Slab upper surface,スラブ天端
,かんでんちゅうい,7,,17,,,"DANGER
ELECTRIC SHOCK RISK",感電注意
,でんげんをいれる,7,,43,,,Turn on the power,電源を入れる
"つ あ よう もち きんけつ
吊り上げ用クランプを用いて緊結し
たんかん つ あ
た単管を吊り上げる",つりあげようくらんぷ,7,,19,,,Lifting clamp,吊り上げ用クランプ
"うわきん く み た
上筋を組立てる",うわきん,7,,34,,,Top reinforcement,上筋
,ざいりゅうかーど,7,,3,,,Residence card,在留カード
"うえ くず てんらく
はしごの上でバランスを崩して転落し
た",ばらんすをくずす,7,,14,,,Lost one's balance,バランスを崩す
,きゅうじつ,7,,6,,,Non-working day,休日
,でんげんをおとす,8,,43,,,Turn off the power,電源を落とす
,るーる,8,,2,,,Rule,ルール
"きん たいしんへき と つ
スパイラル筋を耐震壁に取り付ける",すぱいらるきん,8,,34,,,Spiral reinforcement,スパイラル筋
"ちょっこう もち たんかん きんけつ
直交クランプを用いて単管を緊結す
る",ちょっこうくらんぷ,8,,19,,,Fixed clamp,直交クランプ
"たお ねっちゅうしょう たお
はしごが倒れる、熱中症で倒れる",たおれる,8,,14,,,Collapse,倒れる
,ついらくちゅうい,8,,17,,,"DANGER
FALL HAZARD(cid:9)",堕落注意
,ろーでぃんぐしょべる,8,"A hydraulic shovel used to load earth,
sand, or rocks on the ground",37,,,Loading Excavator,ローディングショベル
,ねんりょうたんく,8,,40,,,Fuel tank,燃料タンク
,てんとう（する）,8,,13,,,Falling (Fall),転倒（する）
,あぶない,8,,1,,,Dangerous,危ない
,かたづける,8,,8,,,To tidy up,片づける
,しょとくぜい,8,"Tax on income, such as annual salary.",4,,,Income tax,所得税
"せ っ ち
アンカーを設置する",あんかー,8,"An abbreviation of a ""joint bar
(sashikin) anchor."" It is also called a
""joint bar.""",31,,,Anchor,アンカー
,ながさ,8,,44,,,Length,長さ
"たか はか
高さ（タッパ）を測る",たかさ（たっぱ）,8,,28,,,Height (Tappa),高さ（タッパ）
,しぎょうじかん,8,,6,,,Starting time of work,始業時間
,にゅうかん,8,"にゅうこくかんりちょう
Abbreviation for ""入国管理庁
(Immigration Service Agency)"" and ""
にゅうこくかんりきょく
入国管理局(Immigration Bureau).""",3,,,Immigration,入管
"し こ
パッキンを敷き込む",ぱっきん,8,,25,,,Packing(cid:9),パッキン
"たんかん もち あ し ば く た
単管を用いて足場を組み立てる",たんかん,8,"""Tankan"" is an abbreviation of
""tankan pipe."" It is also called a
""pipe.""",22,,,Single pipe(cid:9),単管
"き か い そ う さ
機械を操作する",そうさ（する）,8,,42,,,Operation (Operate),操作（する）
,けむり,8,,10,,,Smoke,煙
,かちょう,8,,12,,,Section manager,課長
,ずじょうちゅうい,9,,17,,,WATCH YOUR HEAD,頭上注意
"うえ くず てんらく
はしごの上でバランスを崩して転落し
た",てんらく（する）,9,,14,,,Falling off ( Fall off),転落（する）
ワイヤーロープをフックにかける,ふっく,9,,19,,,Hook,フック
,ふぁんべると,9,,40,,,Fan belt,ファンベルト
,しょうか,9,,10,,,Fire extinguishing,消火
"かたわく た て こ
型枠を建込みする",たてこみ,9,,28,,,Installation,建込み
,はさまる,9,,13,,,Get caught,挟まる
"げ ん ばはんにゅうまえ か こ う ば てっきん か こ う
現場搬入前に加工場で鉄筋を加工
する",かこうば,9,,31,,,Workshop,加工場
,せいそう,9,"To clean the workplace to make the
right workplace condition easily
identifiable.",1,,,Seisou (Shine),清掃
,すてる,9,,8,,,To throw away,捨てる
,じゅうみんぜい,9,"Tax paid to the city, ward, town or village
of residence.",4,,,Resident tax,住民税
,こういしつ,9,,12,,,Dressing room,更衣室
,おもさ,9,,44,,,Weight(cid:9),重さ
,ろーら,9,,37,,,Roller,ローラ
,きゃたつ,9,,22,,,Stepladder,脚立
,しゅうぎょうじかん,9,,6,,,Ending time of work,終業時間
,すいっちをきる,9,,43,,,Switch off,スイッチを切る
,ていし（する）,9,,42,,,Suspension (Suspend),停止（する）
,ざいりゅうきかん,9,,3,,,Period of stay,在留期間
"てっきんけい せっけい と し ょ とお
鉄筋径は設計図書の通りである",てっきんけい,9,,34,,,Rebar diameter,鉄筋径
,るーるをまもる,9,,2,,,To comply with rules,ルールを守る
"しょう くぎ ぬ
小バールで釘を抜く",しょうばーる,9,,25,,,Small crowbar,小バール
,こうせいねんきん,10,"Pension for company or government
employees. When these people are aged,
get disabled, or died, the benefit is
provided.",4,,,Welfare pension,厚生年金
,しどういん,10,,6,,,Instructor,指導員
"き てっきん き
エンジンを切る、鉄筋を切る",きる,10,,42,,,Turn off / Cut(cid:9),切る
"ワイヤーをストレートシャックルにかけ
る",すとれーとしゃっくる,10,,19,,,Straight shackle,ストレートシャックル
"とお よ
通りを良くする",とおり,10,"The act of straightening up the
distortion, obstacles, and others",28,,,Correcting / improving,通り
,あつさ,10,,44,,,Thickness,厚さ
,あしもと,10,,13,,,Footsteps,足元
,だいしゃ,10,,12,,,Cart,台車
,しょうかき,10,,10,,,Fire extinguisher,消火器
,ばけっと,10,,37,,,Bucket,バケット
,きたない,10,,8,,,Dirty,汚い
,くうきあつ,10,,40,,,Air pressure,空気圧
,ひじょうぐち,10,,1,,,Emergency exit,非常口
"じゅうきさぎょう さぎょうはんけい た い きん
重機作業の作業半径に立ち入りを禁
し
止する",さぎょうはんけい,10,"It is a radius of heavy machinery's
rotation. The area is often forbidden
to enter to prevent contact accidents.",22,,,Operating radius,作業半径
,とめる,10,,2,,,To stop,止める
